# time,x,y,error
1.662392630124000000e+12,2.971351950809319931e+01,1.893677975063189933e+01,nan
1.662392630784000000e+12,2.928391672376628208e+01,1.870127768468718799e+01,nan
1.662392631414000000e+12,2.887674713042790486e+01,1.839672385663230259e+01,1.547012127048115415e+00
1.662392631954000000e+12,2.839839440965580408e+01,1.801190305454170826e+01,nan
1.662392632494000000e+12,2.794049732368183925e+01,1.756046142993688619e+01,nan
1.662392633054000000e+12,2.746793183194669652e+01,1.709782507745228841e+01,2.866757406306322142e+00
1.662392633614000000e+12,2.707436522145531654e+01,1.656202637614785189e+01,nan
1.662392634124000000e+12,2.668187801298481077e+01,1.607642764908841571e+01,nan
1.662392634684000000e+12,2.630550101960068332e+01,1.556901585450725634e+01,4.742589135006967105e+00
1.662392635224000000e+12,2.589865142475045090e+01,1.500159268956532621e+01,5.376443674972441578e+00
1.662392635774000000e+12,2.556245598685547904e+01,1.444455061362538473e+01,6.123867339412830901e+00
1.662392636304000000e+12,2.527317537742749209e+01,1.388826837962820804e+01,6.798396841020402093e+00
1.662392636854000000e+12,2.503451745853818622e+01,1.328698448142654520e+01,7.628796270477127273e+00
1.662392637394000000e+12,2.478780875526880223e+01,1.263046444227044596e+01,8.398449197229176377e+00
1.662392637944000000e+12,2.461826867564747090e+01,1.194013554688658374e+01,9.347361629951867812e+00
1.662392638474000000e+12,2.445072056505510716e+01,1.128278046807822577e+01,1.017924219138053488e+01
1.662392639024000000e+12,2.431897219217274397e+01,1.061965977860328714e+01,1.113596968288234024e+01
1.662392639584000000e+12,2.409914566172837880e+01,9.899308515937564223e+00,1.201202758810247495e+01
1.662392640104000000e+12,2.366283550514176426e+01,9.271588280272959892e+00,1.279636781333292639e+01
1.662392640674000000e+12,2.303621749791249229e+01,9.006493789981611542e+00,nan
1.662392641234000000e+12,2.231854399919566134e+01,8.825145610249828465e+00,nan
1.662392641794000000e+12,2.163773789482126375e+01,8.817378031174710529e+00,1.392118327584113935e+01
1.662392642364000000e+12,2.092799589341618827e+01,9.015794602563527604e+00,1.387715180877388121e+01
1.662392642934000000e+12,2.049497396443409158e+01,9.498802311920155006e+00,1.355580656864702327e+01
1.662392643484000000e+12,2.009644330289066261e+01,1.003427698006254687e+01,1.294385975603888461e+01
1.662392644034000000e+12,1.975775456601429170e+01,1.060533696735391551e+01,1.230280865636744991e+01
1.662392644604000000e+12,1.935118712373904870e+01,1.115579801175661245e+01,1.151634496283506515e+01
1.662392645144000000e+12,1.896911379878451243e+01,1.172407675179304221e+01,nan
1.662392645734000000e+12,1.851886436525705903e+01,1.227791935538605905e+01,1.031843746084580715e+01
1.662392646264000000e+12,1.812553719855537793e+01,1.282147405940098395e+01,9.928448232229486692e+00
1.662392646814000000e+12,1.766099606246999798e+01,1.339405981755461816e+01,9.525563942666726902e+00
1.662392647414000000e+12,1.747846075567850832e+01,1.406635671848744629e+01,9.058450617890583700e+00
1.662392647954000000e+12,1.745831870973930222e+01,1.477325920164527240e+01,nan
1.662392648534000000e+12,1.773249353674869866e+01,1.536652334525932950e+01,7.295009446020470634e+00
1.662392649104000000e+12,1.795981214242320334e+01,1.598215721451020777e+01,nan
1.662392649704000000e+12,1.837875025894207681e+01,1.653700969096500017e+01,5.032963249782326898e+00
1.662392650264000000e+12,1.899139410551310903e+01,1.689403314496398778e+01,3.756898076393267338e+00
1.662392650854000000e+12,1.971771705910685313e+01,1.686541810918444995e+01,2.686284488736514930e+00
1.662392651414000000e+12,2.043127757526045585e+01,1.679752110152398359e+01,2.245493567965551218e+00
1.662392652004000000e+12,2.109458942419368199e+01,1.663677234860984200e+01,2.677686060071518437e+00
1.662392652564000000e+12,2.177610963341181360e+01,1.664636855611741950e+01,3.609286688318380953e+00
1.662392653134000000e+12,2.247742295384451694e+01,1.658801501104836618e+01,4.843551785059877268e+00
1.662392653694000000e+12,2.316630726322600964e+01,1.667695133779638894e+01,nan
1.662392654234000000e+12,2.389496276521187212e+01,1.676704768576738758e+01,7.436217257406004144e+00
1.662392654784000000e+12,2.470323500827671381e+01,1.691521354857433934e+01,nan
1.662392655344000000e+12,2.543769143961554136e+01,1.704665709604247326e+01,1.023026942396817063e+01
1.662392655864000000e+12,2.584804460578990870e+01,1.764603705875673612e+01,1.114915427033046491e+01
1.662392656444000000e+12,2.600247017388024418e+01,1.828375783677410027e+01,nan
1.662392657084000000e+12,2.588052823545348247e+01,1.888857920835599913e+01,1.181224387873646009e+01
1.662392657614000000e+12,2.564494596927148251e+01,1.943378634410852257e+01,nan
1.662392658184000000e+12,1.635157072960097580e+01,1.539306403580935978e+01,nan
1.662392658734000000e+12,1.569065062901067620e+01,1.557369183067998009e+01,1.129122721305976684e+00
1.662392659354000000e+12,1.508679961064216180e+01,1.547690164263645407e+01,nan
1.662392659894000000e+12,1.449217639144695369e+01,1.535951650279226932e+01,1.422876893312363444e+00
1.662392660444000000e+12,1.388387244196390391e+01,1.506929164164821522e+01,2.757267145773824257e+00
1.662392660994000000e+12,1.323255903594663607e+01,1.478814664210966612e+01,nan
1.662392661564000000e+12,1.264911389866982816e+01,1.441576228772866664e+01,5.505277284563511841e+00
1.662392662124000000e+12,1.207171613298417157e+01,1.408832737640401866e+01,nan
1.662392662664000000e+12,1.150388199059764460e+01,1.368069244301972276e+01,8.156937808333163176e+00
1.662392663254000000e+12,1.096447566937873042e+01,1.326375037433251869e+01,nan
1.662392663794000000e+12,1.068023511671041526e+01,1.263150949215692087e+01,1.060799655331642732e+01
1.662392664364000000e+12,1.068839715648938871e+01,1.198296947945199875e+01,1.137851868134125866e+01
1.662392664984000000e+12,1.099373927920898275e+01,1.146834687515926277e+01,1.190461279049691790e+01
