X,Y,Z,X_std,Y_std,Z_std,X_error,Y_error,total_error,error_sorted,proportional_values
566578.1326567769,5932830.108904731,27.28971810136737,1.052161635447075,0.9975265036718681,0.0,0.06865677691530436,-0.08909526839852333,0.11247986427535722,0.09137419533328778,0.0
566577.5851495882,5932829.952357941,27.06937154318828,1.0668838118351736,1.0066138214786422,0.0,0.1681495881639421,-0.07764205895364285,0.18520953895052028,0.11247986427535722,0.0045662100456621
566576.9984467756,5932829.720452228,27.21339505435699,1.0996331856002453,1.0229587334998909,0.0,0.21544677554629743,-0.10154777206480503,0.23817905681361293,0.13359507369303167,0.0091324200913242
566576.3941716655,5932829.547788308,27.256372415898326,1.1553130985338367,1.0665039237610043,0.0,0.2541716655250639,-0.0952116921544075,0.27141942059972535,0.18520953895052028,0.0136986301369863
566575.7844607099,5932829.35271331,27.328989803812746,1.206915308616603,1.147845098607632,0.0,0.2804607099387795,-0.08628669008612633,0.293434153951757,0.2211771608783135,0.0182648401826484
566575.1565769037,5932829.169962234,27.176334063075373,1.267786751426158,1.2358929095858335,0.0,0.2985769036458805,-0.099037766456604,0.3145737537930879,0.2253421969946275,0.0228310502283105
566574.5264340368,5932828.965820597,27.32852604260482,1.3375102688189486,1.3383746771752625,0.0,0.31043403677176684,-0.12017940357327461,0.33288493542009784,0.23817905681361293,0.0273972602739726
566573.9003105769,5932828.79187789,27.36954207920832,1.4090692960986797,1.4428572326040583,0.0,0.33431057690177113,-0.14012211002409458,0.3624882998746297,0.25727579185486105,0.0319634703196347
566573.2742173097,5932828.613097125,27.203613624247495,1.483458823426187,1.573486127514341,0.0,0.3532173096900806,-0.14690287504345179,0.38254793498427136,0.27141942059972535,0.0365296803652968
566572.6669783071,5932828.461612039,27.23678555036344,1.563295574496482,1.7107773664620336,0.0,0.39597830711863935,-0.1463879607617855,0.42217088336897124,0.27741495639224556,0.0410958904109589
566572.0243803081,5932828.252502576,27.246940892879273,1.6526784945817905,1.8623944213197188,0.0,0.3913803080795333,-0.15849742386490107,0.4222558216581987,0.2799627780261962,0.045662100456621
566571.3549385889,5932828.0956481425,27.224696175499524,1.7467275099040398,1.9901452014240288,0.0,0.3679385889554396,-0.14635185711085796,0.39597685705394065,0.293434153951757,0.0502283105022831
566570.6833590734,5932827.961756853,27.152320997674245,1.8189806624287925,2.0464253447235086,0.0,0.3403590733651072,-0.10424314625561237,0.35596479090385247,0.3145737537930879,0.0547945205479452
566570.0491568092,5932827.825146553,27.097353054441275,1.9172232175154362,2.1857002272368624,0.0,0.3591568092815578,-0.10085344687104225,0.373048296335849,0.33288493542009784,0.0593607305936073
566569.3833635314,5932827.65392554,27.256493355124483,2.012719109069505,2.264861022832674,0.0,0.3323635314591229,-0.07907446008175611,0.34164058201741876,0.33525984919333685,0.0639269406392694
566568.7619121597,5932827.4829979185,27.107446728172423,2.08905926727677,2.3780897699826786,0.0,0.3479121597483754,-0.05000208131968975,0.35148695429145016,0.34164058201741876,0.0684931506849315
