X,Y,Z,X_std,Y_std,Z_std,X_error,Y_error,total_error,error_sorted,proportional_values
566578.228893757,5932830.054460329,27.28971810136737,1.0192335292892754,0.8994710336169605,0.0,0.16489375696983188,-0.1435396708548069,0.21861744714622455,0.051428222471540073,0.0
566577.6911810356,5932829.962232319,27.06937154318828,1.0939301302080569,0.8224548470001585,0.0,0.27418103558011353,-0.06776768155395985,0.2824317597845228,0.11784438905154078,0.0045662100456621
566577.0672293387,5932829.772265827,27.21339505435699,1.135747473060131,0.7808142828900712,0.0,0.2842293386347592,-0.04973417241126299,0.28854775141419114,0.12343199213671006,0.0091324200913242
566576.4724724335,5932829.634461202,27.256372415898326,1.147474891036898,0.7585804729317603,0.0,0.33247243345249444,-0.008538798429071903,0.33258206518757993,0.12771142134942268,0.0136986301369863
566575.7153025077,5932829.462261723,27.328989803812746,1.1261372545411164,0.7383061361482635,0.0,0.21130250778514892,0.02326172310858965,0.2125790618999755,0.12833783548330727,0.0182648401826484
566575.123345567,5932829.293021114,27.176334063075373,1.1223399629949593,0.7510908413303754,0.0,0.26534556702245027,0.02402111329138279,0.26643063604289785,0.1290264895100088,0.0228310502283105
566574.4404481327,5932829.152617086,27.32852604260482,1.1310937797472682,0.6803521242276312,0.0,0.22444813267793506,0.06661708559840918,0.23412560807446442,0.13590326829510554,0.0273972602739726
566573.7807096876,5932829.009196205,27.36954207920832,1.1575303214553594,0.657194873738735,0.0,0.21470968762878329,0.07719620503485203,0.2281655189405985,0.14318450977925007,0.0319634703196347
566573.1522020039,5932828.823297198,27.203613624247495,1.2098900777456982,0.6849584556765728,0.0,0.2312020038953051,0.06329719815403223,0.23971003712684935,0.14814325089302996,0.0365296803652968
566572.5084652241,5932828.633086792,27.23678555036344,1.2976048529752733,0.7012165731317567,0.0,0.23746522411238402,0.025086792185902596,0.2387866826372933,0.20169727586948918,0.0410958904109589
566571.8280513387,5932828.462349454,27.246940892879273,1.3530445176890655,0.6912005938384832,0.0,0.19505133864004165,0.0513494536280632,0.20169727586948918,0.2125790618999755,0.045662100456621
566571.1140401942,5932828.255076551,27.224696175499524,1.3877564094586932,0.6959817134469677,0.0,0.12704019423108548,0.013076551258563995,0.12771142134942268,0.21861744714622455,0.0502283105022831
566570.4491572452,5932828.139338082,27.152320997674245,1.3847244979226374,0.6959508072619888,0.0,0.10615724523086101,0.07333808206021786,0.1290264895100088,0.22127481678362987,0.0547945205479452
566569.7661057455,5932828.023177015,27.097353054441275,1.3347027127818578,0.7420924755075384,0.0,0.07610574550926685,0.09717701468616724,0.12343199213671006,0.22556852280395773,0.0593607305936073
566569.1034169311,5932827.858388052,27.256493355124483,1.36504023117673,0.8236540244888734,0.0,0.052416931139305234,0.12538805231451988,0.13590326829510554,0.2281655189405985,0.0639269406392694
566568.4815796071,5932827.748207238,27.107446728172423,1.4314576892396962,0.8782762024800608,0.0,0.06757960713002831,0.21520723775029182,0.22556852280395773,0.2288103140796277,0.0684931506849315
566567.8638553675,5932827.552708815,27.434858044554083,1.4734093254791825,0.95295306362669,0.0,0.07885536749381572,0.24470881465822458,0.2571003169076577,0.22888169256475113,0.0730593607305936
566567.2504115765,5932827.411180258,27.310506377886462,1.5624355841971884,1.0383703389066805,0.0,0.1144115764182061,0.25718025770038366,0.28148124940985814,0.23412560807446442,0.0776255707762557
566566.6070054455,5932827.202738638,27.09417336941376,1.6552985043804067,1.0543874900293373,0.0,0.10700544551946223,0.25173863768577576,0.27353703053646844,0.23641661811971293,0.0821917808219178
566565.9917801628,5932827.055682853,27.067924675172417,1.7151179285822078,1.098491020482667,0.0,0.14178016281221062,0.2586828526109457,0.2949888689459201,0.2387866826372933,0.0867579908675799
566565.2886726996,5932826.857675204,27.15267232050972,1.7350558657628499,1.1397697251504215,0.0,0.07667269953526556,0.2586752036586404,0.269799117570581,0.23971003712684935,0.091324200913242
566564.6459274932,5932826.684283383,27.30641525742527,1.7523090263765826,1.1496794245996347,0.0,0.07792749325744808,0.26028338354080915,0.271698608669315,0.24491449430738302,0.0958904109589041
566563.9910211936,5932826.454184158,27.162198599294907,1.8696827121723802,1.1522247533335002,0.0,0.05702119355555624,0.2381841577589512,0.24491449430738302,0.2571003169076577,0.1004566210045662
