# time,x,y,error
1.662391906114000000e+12,2.841832368604413972e+01,1.882961588871031111e+01,8.590458167061851835e-01
1.662391906674000000e+12,2.794871335698030279e+01,1.874526408187595905e+01,7.604597465030108472e-01
1.662391907384000000e+12,2.605297829850934122e+01,1.914839804601024298e+01,nan
1.662391907944000000e+12,2.537652731132526540e+01,1.896198692604855296e+01,nan
1.662391908514000000e+12,2.472750956821516510e+01,1.868945958962775222e+01,1.700851074671930308e+00
1.662391909064000000e+12,2.404473904087454272e+01,1.848373974039881418e+01,nan
1.662391909624000000e+12,2.331945106484524644e+01,1.918652456857988753e+01,1.614335765734744577e+00
1.662391910164000000e+12,2.266047835286428480e+01,1.896407440030514735e+01,1.504407008664081724e+00
1.662391910724000000e+12,2.200894823995007243e+01,1.869912603909429194e+01,nan
1.662391911264000000e+12,2.006031243269654141e+01,1.913443001672792576e+01,nan
1.662391911814000000e+12,1.938848011560001794e+01,1.885176341029521296e+01,nan
1.662391912344000000e+12,1.870584454497728188e+01,1.865007789840757013e+01,nan
1.662391912904000000e+12,1.800020433894970751e+01,1.841813794246264635e+01,2.413099253939333888e+00
1.662391913454000000e+12,1.759171475545185714e+01,1.917457997008994042e+01,2.011911908268168236e+00
1.662391914014000000e+12,1.693515532780570609e+01,1.890030403833717187e+01,1.883225783267773235e+00
1.662391914554000000e+12,1.628836655049007476e+01,1.877327783225398150e+01,1.805186004765471308e+00
1.662391915134000000e+12,1.475555604652671171e+01,1.883606755762947671e+01,2.532343544352388509e+00
1.662391915664000000e+12,1.405664035646472065e+01,1.871110565335294496e+01,nan
1.662391916264000000e+12,1.336439847953828597e+01,1.844066157818905083e+01,2.521311644462863377e+00
1.662391916804000000e+12,1.268899742955257359e+01,1.815166562957070795e+01,2.597944567391970772e+00
1.662391917384000000e+12,1.424534364073613091e+01,1.660304793539186363e+01,nan
1.662391917994000000e+12,1.426016056278908373e+01,1.596427589397514701e+01,2.217528443425695439e+00
1.662391918574000000e+12,1.440169046588174417e+01,1.543116428889842418e+01,nan
1.662391919114000000e+12,1.453351789046586617e+01,1.479156784967754845e+01,2.019477920555133643e+00
1.662391919674000000e+12,1.592786978256065566e+01,1.469804980194549060e+01,2.188252438877979156e+00
1.662391920204000000e+12,1.652181505548880835e+01,1.418643501865574486e+01,2.405896398971989480e+00
1.662391920834000000e+12,1.722451856456505226e+01,1.407921311620129323e+01,nan
1.662391921354000000e+12,1.877954178636699822e+01,1.473975361459196343e+01,3.064560319960949464e+00
1.662391921874000000e+12,1.946530330336467784e+01,1.480035380912730147e+01,nan
1.662391922474000000e+12,2.012669046305249410e+01,1.484687394489109380e+01,2.939576517837074743e+00
1.662391923024000000e+12,2.072790724635752824e+01,1.496856810526700698e+01,2.808739468879597467e+00
1.662391923574000000e+12,2.140000752912290949e+01,1.476336290462478473e+01,nan
1.662391924134000000e+12,2.212546924589253905e+01,1.486444091141326673e+01,2.747516634584060480e+00
1.662391924704000000e+12,2.282955770441240517e+01,1.494542047994232092e+01,nan
1.662391925204000000e+12,2.255342231067344017e+01,1.667039615665485996e+01,2.619085726337289532e+00
1.662391925824000000e+12,2.292754572596061280e+01,1.716800112621007557e+01,2.566177731111274340e+00
1.662391926494000000e+12,2.303711420320318837e+01,1.780272452242304482e+01,nan
1.662391927024000000e+12,2.310343108123743505e+01,1.840059098812895400e+01,nan
1.662391927624000000e+12,2.231103279638492154e+01,1.956458258056060373e+01,nan
1.662391928184000000e+12,2.230082959663334208e+01,2.026726638550551129e+01,2.453935638629713978e+00
