# time,x,y,error
1.662391906114000000e+12,2.967536343202059967e+01,1.860553999906520062e+01,4.294990757733103126e-01
1.662391906674000000e+12,2.921861256907272164e+01,1.851512934038011693e+01,5.301316620355978060e-01
1.662391907384000000e+12,2.863454305442978054e+01,1.830026041573951190e+01,nan
1.662391907944000000e+12,2.797095282613958744e+01,1.810778894875901202e+01,nan
1.662391908514000000e+12,2.732206694637744349e+01,1.783510910519448700e+01,1.353844890745069751e+00
1.662391909064000000e+12,2.663988572163472313e+01,1.761989387432445753e+01,nan
1.662391909624000000e+12,2.597457474724409465e+01,1.735430228225795801e+01,1.905481315447906665e+00
1.662391910164000000e+12,2.531631485870728326e+01,1.712228692427669330e+01,2.124759134635562319e+00
1.662391910724000000e+12,2.467751573545764998e+01,1.685006563324828122e+01,nan
1.662391911264000000e+12,2.402672805054746163e+01,1.655309595919714027e+01,nan
1.662391911814000000e+12,2.336762066093989887e+01,1.626324860862718324e+01,nan
1.662391912344000000e+12,2.268507957184807822e+01,1.606140084642545673e+01,nan
1.662391912904000000e+12,2.197635155448491773e+01,1.582009210258159548e+01,3.582908864192818843e+00
1.662391913454000000e+12,2.125281073322632608e+01,1.562108001483137087e+01,3.775863125876878890e+00
1.662391914014000000e+12,2.059324923540372154e+01,1.533740997694723340e+01,4.147883325158799650e+00
1.662391914554000000e+12,1.995530053785081037e+01,1.520763906084167516e+01,4.249129860716491791e+00
1.662391915134000000e+12,1.932718023986118538e+01,1.499986247006717122e+01,4.534214344928715335e+00
1.662391915664000000e+12,1.863713323082172479e+01,1.487224853980291606e+01,nan
1.662391916264000000e+12,1.794480661221944118e+01,1.460186413004163697e+01,4.898934914987989941e+00
1.662391916804000000e+12,1.725189323027480626e+01,1.432160607847746014e+01,5.025116084838179731e+00
1.662391917384000000e+12,1.702206632332374525e+01,1.366419421842129545e+01,nan
1.662391917994000000e+12,1.701936912271890634e+01,1.303415981427114190e+01,5.819020708807325803e+00
1.662391918574000000e+12,1.716063163285208049e+01,1.250108137626128091e+01,nan
1.662391919114000000e+12,1.728269909822643058e+01,1.185613034059352700e+01,5.833218611538064202e+00
1.662391919674000000e+12,1.768180254388371608e+01,1.121641028821338537e+01,5.959230573992997826e+00
1.662391920204000000e+12,1.826589513481910743e+01,1.069936298856656265e+01,6.110270769549403624e+00
1.662391920834000000e+12,1.895887352707079998e+01,1.058422642233830935e+01,nan
1.662391921354000000e+12,1.953178751476164621e+01,1.044290373215838130e+01,5.839481752421244565e+00
1.662391921874000000e+12,2.020791961013850013e+01,1.049564204092676967e+01,nan
1.662391922474000000e+12,2.086921499861318097e+01,1.054211301703179871e+01,5.567964247545019063e+00
1.662391923024000000e+12,2.147070053979938820e+01,1.066665477798103190e+01,5.359275439810580188e+00
1.662391923574000000e+12,2.217030589765680659e+01,1.075195399547603969e+01,nan
1.662391924134000000e+12,2.289611897756751446e+01,1.085574147710325477e+01,5.205002730556213209e+00
1.662391924704000000e+12,2.360854140138559032e+01,1.092258306104605126e+01,nan
1.662391925204000000e+12,2.418211910492301797e+01,1.120277483512141536e+01,5.001112290997836496e+00
1.662391925824000000e+12,2.456457453124254897e+01,1.168621345634374009e+01,4.774593200102208002e+00
1.662391926494000000e+12,2.467429503650945577e+01,1.232075322523869154e+01,nan
1.662391927024000000e+12,2.474778676199257532e+01,1.291405605283973834e+01,nan
1.662391927624000000e+12,2.468707088890162638e+01,1.361274018589357659e+01,nan
1.662391928184000000e+12,2.468403774712972520e+01,1.431085794447020554e+01,4.448219659082742972e+00
1.662391928744000000e+12,2.460333529080772763e+01,1.500512830193675740e+01,4.416065678311425380e+00
1.662391929314000000e+12,2.462785502596024401e+01,1.571369582570823553e+01,4.479738595192361394e+00
1.662391929894000000e+12,2.452828874681762628e+01,1.639248730631145889e+01,4.456477276282404532e+00
1.662391930444000000e+12,2.448426167948130328e+01,1.711597353908633679e+01,4.410939294534357735e+00
1.662391931054000000e+12,2.463252679160760295e+01,1.784090763113123046e+01,4.426116686843960757e+00
1.662391931604000000e+12,2.524422570667990939e+01,1.821317493343681448e+01,4.758712580645509505e+00
1.662391932174000000e+12,2.589140089456799743e+01,1.844927904359894200e+01,nan
1.662391932744000000e+12,2.660543970705465000e+01,1.852900469423420304e+01,nan
1.662391933284000000e+12,2.733802686964470752e+01,1.858061001028801229e+01,4.992522183816065606e+00
1.662391933864000000e+12,2.800410807926177625e+01,1.848445219432748843e+01,5.035834903657136152e+00
1.662391934434000000e+12,2.864355424396241290e+01,1.854327898312691758e+01,4.840071212489537089e+00
1.662391934984000000e+12,2.931735903837665802e+01,1.858173099796861294e+01,nan
1.662391935534000000e+12,2.997911195751145996e+01,1.870439169545329960e+01,nan
1.662391936104000000e+12,3.069507217633653440e+01,1.870658212476448412e+01,4.703579772487772814e+00
1.662391936654000000e+12,3.145212730307090965e+01,1.840058883850808158e+01,nan
1.662391937224000000e+12,3.176367429813858578e+01,1.773775199591617024e+01,5.044819890252172812e+00
1.662391937794000000e+12,3.204124423022480528e+01,1.705082763988813355e+01,nan
1.662391938374000000e+12,3.191762851390258859e+01,1.628504283553348131e+01,5.093287494607332988e+00
1.662391938944000000e+12,3.166365305087602877e+01,1.556387752927166268e+01,5.096111346706543976e+00
1.662391939534000000e+12,3.106357007843303819e+01,1.516764277435654762e+01,nan
1.662391940094000000e+12,3.037303564641557685e+01,1.493406541997234349e+01,4.646456645802329533e+00
1.662391940684000000e+12,2.968633886789071852e+01,1.494996406354142948e+01,4.368891572341701668e+00
1.662391941304000000e+12,2.900345568048927092e+01,1.494802224480043584e+01,nan
1.662391941884000000e+12,2.836675811046969642e+01,1.505437352444553234e+01,nan
1.662391942454000000e+12,2.761545709386857439e+01,1.513195154806044584e+01,4.219007132625004708e+00
1.662391943014000000e+12,2.686368257936196713e+01,1.525138786065517849e+01,4.071664195094813365e+00
1.662391943624000000e+12,2.612073717330034484e+01,1.527420390457454502e+01,nan
1.662391944154000000e+12,2.536036451934162628e+01,1.534812213434446626e+01,nan
1.662391944754000000e+12,2.460420449920693642e+01,1.539556853078337717e+01,3.892209512270336624e+00
1.662391945304000000e+12,2.387387554329665207e+01,1.553740815708598433e+01,nan
1.662391945884000000e+12,2.315864076997401355e+01,1.561752287060556377e+01,3.723641856785165238e+00
1.662391946434000000e+12,2.243184046655765940e+01,1.572220692149005217e+01,3.562980059163053603e+00
1.662391947004000000e+12,2.167704931870961715e+01,1.573599099641322319e+01,3.560871893958756473e+00
1.662391947584000000e+12,2.099111903185351125e+01,1.582673611538350400e+01,3.441942213930562211e+00
