,time,x_5g,y_5g,z_5g,x_5g2,y_5g2,z_5g2,x_pos_qsys1,y_pos_qsys1,z_pos_qsys1,x_rot_qsys1,y_rot_qsys1,z_rot_qsys1,x_pos_qsys2,y_pos_qsys2,z_pos_qsys2,x_rot_qsys2,y_rot_qsys2,z_rot_qsys2,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,attitude_x,attitude_y,attitude_z,attitude_w,bar0_z,gps_x,gps_y,gps_z,total_error1,x_error1,y_error1,z_error1,total_error2,x_error2,y_error2,z_error2
10,1655820512194.0,28.1935794627291,17.8487285910757,1.0,28.1935794627291,17.8487285910757,1.0,29.08534375,18.80768359,1.74338354,8.727,-18.781,-165.606,28.906875,18.84608789,1.20272168,-3.534,29.084,-172.55,-0.061558,0.011135,-0.053826,-0.5873803,4.9934406000000005,8.6283272,0.9375,-64.4375,-23.6875,0.0360232,-0.25826560000000004,-0.9650995,0.024168199999999997,973.510742,,,,1.3095183213738077,0.8917642872708988,0.9589549989242983,0.74338354,1.2261794708122244,0.7132955372708984,0.9973592989242981,0.20272168000000002
11,1655820512204.0,28.2017655529049,17.840478095974,1.0,28.2017655529049,17.840478095974,1.0,29.08516406,18.80762305,1.74329663,8.439,-18.903,-165.843,28.90738281,18.84958789,1.20415173,-5.625,28.046,-169.958,-0.061558,0.011135,-0.053826,-0.592661,4.987707,8.636546,0.9375,-64.4375,-23.6875,0.036056,-0.258182,-0.965122,0.024116,973.510742,,,,1.3098710945874825,0.8833985070951016,0.9671449540260006,0.7432966299999999,1.2313400382955193,0.7056172570951027,1.0091097940259992,0.20415172999999998
12,1655820512214.0,28.1918971750393,17.8342574537095,1.0,28.1918971750393,17.8342574537095,1.0,29.08505859,18.80781445,1.74326611,8.692,-18.814,-165.57,28.90836914,18.85138672,1.20510217,-7.019,27.571,-168.986,-0.05927954545454545,0.013338909090909092,-0.050849454545454545,-0.592661,4.987707,8.636546,1.0125,-64.425,-23.6375,0.036056,-0.258182,-0.965122,0.024116,973.5126464,,,,1.3211928467111724,0.8931614149606979,0.9735569962904975,0.74326611,1.2441398719273074,0.7164719649607001,1.0171292662904996,0.20510216999999997
13,1655820512224.0,28.1728694168704,17.8121031884651,1.0,28.1728694168704,17.8121031884651,1.0,29.08489258,18.80782422,1.74321472,8.796,-18.865,-165.564,28.90841992,18.85142383,1.2057478,-5.136,27.556,-169.93,-0.036495,0.035378,-0.021084,-0.5644334000000001,4.9619526,8.6802635,1.3125,-64.375,-23.4375,0.036398749999999994,-0.25734425,-0.9653484999999999,0.0234725,973.51709,,,,1.3502764986201323,0.9120231631296001,0.9957210315348988,0.7432147200000001,1.2732721384585155,0.7355505031295984,1.0393206415349,0.20574779999999993
14,1655820512234.0,28.1542362194444,17.7904534826088,1.0,28.1542362194444,17.7904534826088,1.0,29.08473438,18.80777344,1.74315588,8.718,-18.908,-165.61,28.908375,18.85083008,1.20571826,-5.065,27.601,-170.117,-0.036495,0.035378,-0.021084,-0.561297,4.959091,8.685121,1.3125,-64.375,-23.4375,0.036513,-0.257065,-0.965424,0.023258,973.51709,,,,1.3786829666401865,0.9304981605556009,1.017319957391198,0.74315588,1.3012009178573571,0.7541387805555999,1.0603765973912012,0.20571826000000004
15,1655820512244.0,28.1659410014689,17.7854136017601,1.0,28.1659410014689,17.7854136017601,1.0,29.08449805,18.8077793,1.74305493,8.767,-18.966,-165.606,28.90862891,18.85082422,1.20616846,-5.1,27.469,-170.129,-0.036495,0.035378,-0.021084,-0.561297,4.959091,8.685121,1.3375,-64.38125,-23.45,0.036513,-0.257065,-0.965424,0.023258,973.51709,,,,1.3744012050139212,0.918557048531099,1.0223656982398985,0.74305493,1.298724418395458,0.7426879085310993,1.0654106182398984,0.20616846
16,1655820512254.0,28.1585521965848,17.7825142598094,1.0,28.1585521965848,17.7825142598094,1.0,29.08423828,18.80786523,1.74296375,8.814,-18.996,-165.619,28.90855469,18.85167773,1.20595142,-5.092,27.523,-169.929,-0.010343000000000001,0.04487240000000001,0.004300799999999997,-0.5008137272727273,5.007310545454545,8.865956363636363,1.5625,-64.4375,-23.5625,0.037008599999999996,-0.2565484,-0.9655465,0.0230865,973.51709,,,,1.381390363763763,0.9256860834152008,1.0253509701906012,0.7429637499999999,1.305991679192107,0.7500024934151988,1.069163470190599,0.2059514200000001
17,1655820512264.0,28.1410138455083,17.7622445089139,1.0,28.1410138455083,17.7622445089139,1.0,29.08408398,18.80752539,1.74269202,9.218,-19.075,-165.258,28.90838477,18.85079297,1.20568396,-5.062,27.679,-170.196,-0.003805,0.047246,0.010647,-0.487373,5.018026,8.906142,1.5625,-64.4375,-23.5625,0.037221,-0.256327,-0.965599,0.023013,973.51709,,,,1.4078328732254846,0.9430701344916983,1.0452808810861,0.74269202,1.3318392875599399,0.7673709244917006,1.088548461086102,0.20568396
18,1655820512274.0,28.1536957399058,17.7587188922956,1.0,28.1536957399058,17.7587188922956,1.0,29.08356055,18.8069668,1.74308984,9.305,-19.155,-165.464,28.90813672,18.85052344,1.20542004,-4.812,27.78,-170.384,-0.003805,0.047246,0.010647,-0.487373,5.018026,8.906142,1.5625,-64.4375,-23.5625,0.037221,-0.256327,-0.965599,0.023013,973.51709,,,,1.401239537359041,0.9298648100942017,1.0482479077044005,0.7430898399999999,1.3271090244714288,0.754440980094202,1.091804547704399,0.20542003999999991
19,1655820512284.0,28.1475163173372,17.7580515601601,1.0,28.1475163173372,17.7580515601601,1.0,29.08313672,18.80703516,1.74343701,9.044,-19.268,-165.873,28.9083457,18.85187695,1.20566931,-5.21,27.667,-169.895,0.012581909090909092,0.04282854545454545,0.018300818181818182,-0.5457096,4.9916066,8.5696135,1.5625,-64.4375,-23.5625,0.037682999999999994,-0.2563162,-0.9655786,0.0232326,973.51709,,,,1.4056145028463438,0.9356204026627992,1.0489835998399002,0.7434370100000001,1.3324095965511016,0.7608293826628021,1.0938253898398997,0.20566931
20,1655820512294.0,28.141505540261,17.7578392110157,1.0,28.141505540261,17.7578392110157,1.0,29.08278906,18.80433398,1.7439054,10.514,-19.066,-164.911,28.9081875,18.85105273,1.20542261,-5.093,27.79,-170.165,0.018727,0.041172,0.021171,-0.570711,4.980284,8.425387,1.5,-64.0,-23.8125,0.037991,-0.256309,-0.965565,0.023379,973.51709,,,,1.4075389749643668,0.9412835197389988,1.0464947689842994,0.7439054,1.3352591604176578,0.7666819597389996,1.0932135189842995,0.20542261000000006
21,1655820512304.0,28.1250500348682,17.739762273651,1.0,28.1250500348682,17.739762273651,1.0,29.08307031,18.80573633,1.74392725,9.697,-19.587,-165.467,28.90832422,18.85124805,1.20572534,-5.101,27.672,-170.126,0.018727,0.041172,0.021171,-0.570711,4.980284,8.425387,1.5,-64.0,-23.8125,0.037991,-0.256309,-0.965565,0.023379,973.51709,,,,1.4332144069792039,0.9580202751318012,1.065974056348999,0.74392725,1.3597496387644403,0.7832741851318019,1.1114857763489994,0.2057253400000001
