# time,x,y,error
1.662392256064000000e+12,2.748922389149095835e+01,1.888569490718023047e+01,nan
1.662392256734000000e+12,2.559510209773909040e+01,1.892175192351283997e+01,2.933042693908282317e+00
1.662392257274000000e+12,2.514142547924951288e+01,1.852032861379615980e+01,nan
1.662392257834000000e+12,2.462598447936798252e+01,1.922945898726815983e+01,2.399660840231507830e+00
1.662392258354000000e+12,2.419095552311810593e+01,1.885522672719763548e+01,2.095992681026165982e+00
1.662392258904000000e+12,2.284013603456029173e+01,1.910515426825589458e+01,nan
1.662392259464000000e+12,2.231762689771355213e+01,1.869854363273779185e+01,2.369092410064004284e+00
1.662392259974000000e+12,2.114569460433346748e+01,1.902526696847707299e+01,nan
1.662392260504000000e+12,2.062844584943735882e+01,1.859756984193571583e+01,2.518674423380597993e+00
1.662392261034000000e+12,1.995409920318680008e+01,1.921569571284095446e+01,2.373984848701375494e+00
1.662392261564000000e+12,1.943543442552595835e+01,1.871063765825202907e+01,2.112855442067689271e+00
1.662392262084000000e+12,1.854774344375375961e+01,1.912726764745187324e+01,nan
1.662392262634000000e+12,1.804853037621666090e+01,1.859665443618488823e+01,1.974501491218052074e+00
1.662392263174000000e+12,1.709699328996206447e+01,1.908069269013180502e+01,2.086841070973630252e+00
1.662392263684000000e+12,1.655647060140412563e+01,1.855227334073769896e+01,1.956726459673671981e+00
1.662392264234000000e+12,1.559134438995580041e+01,1.909429942869100572e+01,2.063949560045498455e+00
1.662392264784000000e+12,1.412395455346102580e+01,1.879100391410499782e+01,nan
1.662392265334000000e+12,1.360274888915462732e+01,1.831023812539764606e+01,2.603133757644469526e+00
1.662392265874000000e+12,1.396637902399488773e+01,1.766710918341220449e+01,1.989747572477146065e+00
1.662392266414000000e+12,1.358132228156388699e+01,1.706152071007494797e+01,2.205587342607774115e+00
1.662392266974000000e+12,1.397190933689712722e+01,1.628514782143763284e+01,2.460022336169962021e+00
1.662392267494000000e+12,1.433501186257726800e+01,1.576309127144568834e+01,2.509834413245882079e+00
