X,Y,Z,X_std,Y_std,Z_std
566561.1061702578,5932846.891453145,1.412958411440803,1.0083831714952436,1.0721618681281855,0
566561.5838323557,5932847.088265475,1.8126559015677852,0.9131377245574352,1.1013631562785575,0
566562.2764339426,5932847.341243188,1.8079062516907107,1.0413635748558001,1.1562182280314732,0
566562.8810949994,5932847.559145694,1.749952038752502,1.0781861000682311,1.228290204539321,0
566563.4770392543,5932847.786197367,1.565356631425957,1.1271087228141783,1.3156040365591701,0
566564.1184815657,5932847.9825912975,1.405104559870879,1.1861516029624326,1.4206330990939509,0
566564.7413877503,5932848.1700918805,1.3396756990434688,1.2536016270460966,1.5337065321495353,0
566565.3696353361,5932848.3194743255,1.5743907391598533,1.327075590069015,1.6543728536943592,0
566565.9543530655,5932848.4991593445,1.313907152030297,1.4073428597020297,1.775617797741134,0
566566.6141714471,5932848.611122059,1.5859096328382765,1.494169139617397,1.8782225578514724,0
566567.2573348837,5932848.731672318,1.6109443959089218,1.5857423156477364,2.0329091668097474,0
566567.8830399237,5932848.797889744,1.5140176483757708,1.6803540967100359,2.1388241658366325,0
566568.5126601491,5932848.860191735,1.560550993461472,1.7793741464521016,2.258086764148371,0
566569.1668914659,5932848.897759246,1.8221282313233151,1.8808128061519032,2.351542048153083,0
566569.81377818,5932848.991256182,1.6184993550613038,1.9826124092841158,2.469559876076155,0
566570.5045382574,5932848.9932347555,1.5147807637914885,2.0750182344606474,2.5424513226297223,0
566571.1838963974,5932849.02621383,1.4189296529189677,2.183409069890947,2.6218786485204633,0
566571.8457657569,5932849.106377002,1.4083577097611493,2.3006847804381647,2.690385008915161,0
566572.5113822827,5932849.100540221,1.2851051069762758,2.418937350901067,2.7389802500693254,0
566573.2209482155,5932849.041463227,1.2822398616647455,2.5613624836754076,2.7265849727091793,0
566573.9101207523,5932849.10122905,1.4548269704101304,2.6727547236262956,2.7700358304875223,0
566574.6287605665,5932849.046368751,1.4191459112238611,2.812560597375803,2.8360802198054116,0
566575.3796761478,5932848.988236058,1.4402840610343013,2.795810767334473,2.88440859608275,0
566576.0623197353,5932848.967868536,1.3045573713614982,2.8682598468367715,2.9944681826498263,0
566576.7928627448,5932849.010925038,1.2791540304442095,2.9268075740652595,3.0751929040073542,0
566577.4683576066,5932849.057813614,1.3309252578384172,3.0665590549549804,3.082360700081374,0
566578.1240253546,5932849.078208387,1.4693509522841417,3.2063736537356804,3.1837562998523863,0
566578.7917409313,5932849.112786319,1.361509458299628,3.239359349054224,3.262301523586754,0
566579.4344455308,5932850.14756538,1.355227586740991,3.288222390799015,2.5732394600480673,0
566580.3281584978,5932849.293777487,1.4282627743733147,3.399791386011568,3.357516771554842,0
566581.0008504835,5932849.2948951805,1.3067837287511437,3.4940125598410767,3.4006573216591285,0
566581.6303352653,5932849.203806596,1.4154873206075027,3.5675584955968183,3.4601801751106893,0
566582.3649924449,5932849.29236617,1.3639306735033059,3.680319490605111,3.4955783885586227,0
566583.0727688607,5932849.222714548,1.3219760021962148,3.723837435045768,3.48490304882916,0
566583.7516072276,5932849.297820739,1.2478115527730878,3.826086255665914,3.607001804288149,0
566584.2307569933,5932849.775937683,1.413279728188235,3.853629999067631,3.1575118505369373,0
566584.8683717998,5932849.713622091,1.4041256050587911,3.9620630180928806,3.166367958951511,0
566585.5051971956,5932849.558228926,1.2549981414057225,4.105571776915265,3.1541045741497493,0
566586.0494499352,5932849.514775386,1.4913170192029632,4.200385634912175,3.1162048582004296,0
566586.6988032478,5932849.428712586,1.7195785686115965,4.296822364034989,3.1231003756181557,0
566587.3742359588,5932849.364468574,1.665043318734496,4.369644363408452,3.1932643834532244,0
566587.9977799867,5932849.257982063,1.6935473453006449,4.551952225283691,3.236588208539525,0
566588.6445425546,5932849.224416082,1.834939013132788,4.698280212090765,3.268116963430624,0
566589.5689907568,5932848.720952715,2.1835404020695117,4.753212060502109,2.863882551900812,0
566591.1630371995,5932849.193371365,2.1698961077034045,4.247174521304391,2.657882175127143,0
566591.8670802258,5932849.170873416,2.1760292871404334,4.488825542125549,2.7020133988704944,0
566591.609243792,5932848.773274914,2.7585646810141364,5.167295034660582,2.9654251993842764,0
566592.0962904487,5932848.73625254,2.803627638885422,5.139116164922087,2.983695648259207,0
566592.7340397784,5932848.841557366,2.697697164040227,5.241748405903613,3.0622347625567765,0
566593.3823190216,5932848.81065701,2.903446909099089,5.342175001961602,3.0610107354308216,0
566593.8889149313,5932848.84831922,3.183815163054595,5.3459088699499615,3.088347996085869,0
