X,Y,Z,X_std,Y_std,Z_std,X_error,Y_error,total_error,error_sorted,proportional_values
566561.13527157,5932846.540906105,1.412958411440803,1.0521726514037404,0.8013330897907878,0.0,-0.27439839753787965,-0.16788523271679878,0.32168296805353236,0.32168296805353236,0.0
566561.6570492273,5932846.636746186,1.8126559015677852,1.0892592102047833,0.8130579316927056,0.0,-0.570073833456263,-0.24791362415999174,0.6216472799229967,0.6216472799229967,0.0055248618784530384
566562.1774605413,5932846.734056326,1.8079062516907107,1.1104352590861846,0.8085378538342678,0.0,-0.8682248911354691,-0.3212344394996762,0.9257461999424401,0.9257461999424401,0.011049723756906077
566562.7269038551,5932846.836972364,1.749952038752502,1.1349069560203264,0.8358468821007737,0.0,-1.1402513952925801,-0.37435242533683777,1.20013040242394,1.20013040242394,0.016574585635359115
566563.2728243805,5932846.918720857,1.565356631425957,1.180527994305037,0.8480646845001352,0.0,-1.412840480566956,-0.4634877974167466,1.4869227155043716,1.4869227155043716,0.022099447513812154
566563.8403292838,5932846.957713306,1.405104559870879,1.2078885988946502,0.8616141250384177,0.0,-1.6734216707991436,-0.5403948789462447,1.7585126424030975,1.7585126424030975,0.027624309392265192
566564.3892161461,5932847.014300976,1.3396756990434688,1.2479308085400331,0.8628005037016089,0.0,-1.9531694711185992,-0.5957173332571983,2.0419966023607325,2.0419966023607325,0.03314917127071823
566564.9151156482,5932847.065107123,1.5743907391598533,1.279531613761598,0.8679888292078297,0.0,-2.2610592872370034,-0.6077972128987312,2.3413258108191974,2.135316972943334,0.03867403314917127
566565.4103973302,5932847.121759975,1.313907152030297,1.3278454667380073,0.8793251191496788,0.0,-2.5937748918076977,-0.6676766378805041,2.6783316228845613,2.233424942714724,0.04419889502762431
566565.9266292345,5932847.190018496,1.5859096328382765,1.4058392048761503,0.8514633572983923,0.0,-2.9125852385768667,-0.6425889283418655,2.9826285894833453,2.326635851704709,0.049723756906077346
566566.5090506511,5932847.23092103,1.6109443959089218,1.4644500950056816,0.8654774019970726,0.0,-3.1644824689719826,-0.6571090780198574,3.23198725815049,2.3413258108191974,0.055248618784530384
566567.0188993725,5932847.23950831,1.5140176483757708,1.5375654158420882,0.880624994424601,0.0,-3.490751422243193,-0.6403662264347076,3.5490018872707156,2.662003338422468,0.06077348066298342
566567.4828809741,5932847.2575894175,1.560550993461472,1.5903751704760067,0.8950798270483339,0.0,-3.862882321816869,-0.6309548793360591,3.914072545567247,2.6783316228845613,0.06629834254143646
566568.0490665486,5932847.283216832,1.8221282313233151,1.5837291427031102,0.9040130781574945,0.0,-4.132512735435739,-0.5814336640760303,4.173215380765706,2.699768148261904,0.0718232044198895
566568.5487564929,5932847.316821517,1.6184993550613038,1.6098131990783695,0.9087693692430192,0.0,-4.467728096060455,-0.5935718659311533,4.506985899728661,2.9826285894833453,0.07734806629834254
566569.1696280226,5932847.364928793,1.5147807637914885,1.6826045836474544,0.9180623060256417,0.0,-4.682904178276658,-0.5590170491486788,4.716152203243644,3.179685254416441,0.08287292817679558
566569.7705023357,5932847.384372305,1.4189296529189677,1.7340088802493048,0.9525674888487309,0.0,-4.917672322946601,-0.5689156828448176,4.950471303831768,3.23198725815049,0.08839779005524862
566570.3500752309,5932847.392121976,1.4083577097611493,1.8383824865711478,1.0030330709326798,0.0,-5.173419996979646,-0.5237651253119111,5.199865803233953,3.233225639260598,0.09392265193370165
566570.9478108094,5932847.395824835,1.2851051069762758,1.920565348654585,1.012121808623613,0.0,-5.411307564470917,-0.4901751847937703,5.433463100922631,3.5490018872707156,0.09944751381215469
566571.5410088624,5932847.397465572,1.2822398616647455,1.9787531328947487,1.0278855170258414,0.0,-5.651050425483845,-0.4152629505842924,5.666287517368768,3.7218780762185726,0.10497237569060773
566572.1478837086,5932847.399409766,1.4548269704101304,2.0136622932186525,1.0367219948714854,0.0,-5.880331015679985,-0.41515310294926167,5.894967765209273,3.731282874171741,0.11049723756906077
566572.7238371446,5932847.415329323,1.4191459112238611,2.0572398666139593,1.0530350350523252,0.0,-6.138425935874693,-0.3398818913847208,6.14782828894158,3.7719800935566115,0.11602209944751381
566573.3484221394,5932847.420770891,1.4402840610343013,2.1350141585588474,1.1020222456478412,0.0,-6.349843156174757,-0.3183289645239711,6.357817348561872,3.7951616496060514,0.12154696132596685
566573.9457833865,5932847.4654301405,1.3045573713614982,2.170603026998258,1.1771245767770893,0.0,-6.588057828252204,-0.24249019101262093,6.5925190512529035,3.8906037630679817,0.1270718232044199
566574.5416571188,5932847.557036808,1.2791540304442095,2.238348739034044,1.2348469255875743,0.0,-6.827722802292556,-0.1830448191612959,6.83017599120019,3.914072545567247,0.13259668508287292
566575.0693276393,5932847.663058365,1.3309252578384172,2.3697621823912165,1.2465700061493201,0.0,-7.136132222018205,-0.06563850585371256,7.136434088785322,4.009929744194169,0.13812154696132597
566575.5902361707,5932847.706938745,1.4693509522841417,2.4598293689004556,1.2657962157842018,0.0,-7.450646441662684,-0.056802461855113506,7.450862964672859,4.028450104767804,0.143646408839779
566576.0953654066,5932847.725010991,1.361509458299628,2.518757054958971,1.256872317743308,0.0,-7.78147213102784,-0.02032800018787384,7.781498683001533,4.029238413709836,0.14917127071823205
566576.6693086639,5932847.788744812,1.355227586740991,2.602976162694115,1.249632516548855,0.0,-8.043609431944788,0.05474512092769146,8.04379572850632,4.095663868948195,0.15469613259668508
566577.251710509,5932847.834721379,1.4282627743733147,2.72294235359728,1.2566571878177386,0.0,-8.296645044581965,0.135413670912385,8.297750047938083,4.173215380765706,0.16022099447513813
566577.9019553607,5932847.934218747,1.3067837287511437,2.8491247211551154,1.2412239461997796,0.0,-8.482159972307272,0.2091259779408574,8.48473756049422,4.176240137601274,0.16574585635359115
566578.6500202637,5932847.967646311,1.4154873206075027,3.06610320352816,1.2525159639241326,0.0,-8.568832518183626,0.2912635998800397,8.573781266704687,4.251686276008276,0.1712707182320442
566579.2097379654,5932848.0315451715,1.3639306735033059,3.1308429502482467,1.254727554959911,0.0,-8.844619044219144,0.3221175642684102,8.850482798275706,4.312821449930162,0.17679558011049723
566579.9023362433,5932848.055687465,1.3219760021962148,3.2008012743528433,1.2484081616500458,0.0,-8.988178206142038,0.3461408792063594,8.994840797569708,4.348534666115958,0.18232044198895028
566580.466747057,5932848.127702604,1.2478115527730878,3.2711141327182163,1.2521196334231253,0.0,-9.259819831699133,0.40490466728806496,9.268668248735642,4.35920493859085,0.1878453038674033
566581.0352686519,5932848.145203846,1.413279728188235,3.3270128175804636,1.244556651420084,0.0,-9.523983250721358,0.4985304493457079,9.537022049305842,4.414821892992583,0.19337016574585636
566581.584365918,5932848.2313310215,1.4041256050587911,3.3938634593559662,1.2604791677249234,0.0,-9.810647436999716,0.6103884112089872,9.82961734482311,4.460051700594942,0.19889502762430938
566582.1044905754,5932848.243151276,1.2549981414057225,3.4800307473803564,1.270240708953998,0.0,-10.125847340445034,0.6595202889293432,10.147302664920723,4.493201651120464,0.20441988950276244
566582.7306581096,5932848.3010906475,1.4913170192029632,3.6307423334510047,1.298738576162035,0.0,-10.335592928458937,0.737671822309494,10.361884042018604,4.499906173101677,0.20994475138121546
566583.3330662531,5932848.282730867,1.7195785686115965,3.7411938116152204,1.3257202119125506,0.0,-10.56693374691531,0.7827308671548963,10.595883937741801,4.506985899728661,0.2154696132596685
566583.9590880469,5932848.324694896,1.665043318734496,3.8659607931980497,1.330249006146412,0.0,-10.332742405938916,0.8340613478794694,10.366350561287943,4.533188504846568,0.22099447513812154
566584.6659375252,5932848.401425372,1.6935473453006449,4.119985084641371,1.343807736894351,0.0,-10.017789675155655,0.9167729215696454,10.059651214896995,4.583541133257136,0.2265193370165746
566585.2724850649,5932848.474808228,1.834939013132788,4.221430854624839,1.3406777500162328,0.0,-9.80315232113935,0.9851317796856165,9.852526582293823,4.596940688132178,0.23204419889502761
566585.8843099965,5932848.5008794945,2.1835404020695117,4.298602293188622,1.3504814336565016,0.0,-9.583207333111204,1.0042070504277945,9.63567821118603,4.632479575476837,0.23756906077348067
566586.3757908385,5932848.552782827,2.1698961077034045,4.33431237999451,1.3510584912285772,0.0,-9.483252996928059,1.0380596416071057,9.539898071954358,4.640109111760709,0.2430939226519337
566586.9783980516,5932848.60021501,2.1760292871404334,4.4220704791420165,1.3623597345624303,0.0,-9.272097424603999,1.065884504467249,9.33316133087881,4.640216982076856,0.24861878453038674
566587.5977044193,5932848.640467496,2.7585646810141364,4.402464851543524,1.3816939138363877,0.0,-9.044420017511584,1.0904656378552318,9.109920348746593,4.644588794472135,0.2541436464088398
566588.2373802819,5932848.651928897,2.803627638885422,4.488689107599142,1.409600603384085,0.0,-8.79668554419186,1.1028111269697547,8.865543917051133,4.6971048050200395,0.2596685082872928
566588.8334325958,5932848.734703936,2.697697164040227,4.541783664480493,1.4618064990202926,0.0,-8.590689581003971,1.1471820333972573,8.666947218883918,4.716152203243644,0.26519337016574585
566589.4043402545,5932848.743425814,2.903446909099089,4.586157461871723,1.4902454155359812,0.0,-8.411718693561852,1.1538059264421463,8.490481699851365,4.793096280940231,0.27071823204419887
566590.0235043952,5932848.816678525,3.183815163054595,4.654179021813851,1.5413994182584625,0.0,-8.184493258129805,1.225359920412302,8.275713674779057,4.810904499268504,0.27624309392265195
566590.6678023996,5932848.876208144,3.2300094930409253,4.681295641627399,1.594081258839107,0.0,-7.932010452030227,1.2948737479746342,8.037007392948611,4.880304132632964,0.281767955801105
566591.2486771083,5932848.902372179,3.4653161850261407,4.733554173084401,1.6353201776833937,0.0,-7.743035492370836,1.326818852685392,7.855892495697472,4.902990862604068,0.287292817679558
566591.8177991824,5932848.922050987,3.794327342354929,4.792391855002943,1.6794763274745106,0.0,-7.565774428541772,1.3544840747490525,7.686063349486873,4.94397809079308,0.292817679558011
566591.1648072532,5932849.392377603,4.033082644281522,4.494910401660072,1.462001851366644,0.0,-8.61044903867878,1.839076440781355,8.804659834583125,4.944857314553018,0.2983425414364641
566591.8106223078,5932849.580734904,4.149399374266093,4.857641585161537,1.6084144601966004,0.0,-8.355361673166044,2.058267280459404,8.605145721440273,4.950471303831768,0.30386740331491713
566592.2821908608,5932849.669940487,4.264319537104054,5.0774969423348395,1.667024571025886,0.0,-8.275695222080685,2.1418535634875298,8.548372248340225,5.016833229269659,0.30939226519337015
566592.7363502261,5932849.735638863,4.355671260435037,5.239331244824458,1.6599386907429683,0.0,-8.213251745677553,2.2208747258409858,8.508218896205872,5.079481959863866,0.3149171270718232
566593.174519824,5932849.819631868,4.589153323783863,5.44643695252931,1.7314449659654811,0.0,-8.166795757133514,2.318257368169725,8.489456411561767,5.089150414538597,0.32044198895027626
566593.6864636817,5932849.844791584,4.460139220576164,5.630138374199903,1.7982120485765754,0.0,-8.045684303040616,2.3728936249390244,8.388304957467296,5.098431334326014,0.3259668508287293
566594.3453536608,5932849.896430002,4.675770758632654,5.902173831210295,1.8863020034273932,0.0,-7.777892618672922,2.4502411512658,8.154710006306972,5.191743486552451,0.3314917127071823
566594.6799631388,5932849.862047338,4.856401643735682,6.032632702526056,1.9368619483382634,0.0,-7.832786587998271,2.459515086375177,8.209857501396275,5.199865803233953,0.3370165745856354
566595.1374997315,5932849.959514328,5.093217837578689,6.141750201130027,1.940152266278568,0.0,-7.767143719713204,2.5508060790598392,8.175275727194093,5.200593808928504,0.3425414364640884
566596.0431593576,5932850.043478881,5.14788487549855,6.42757366367619,2.017695732893331,0.0,-7.2525552834849805,2.66088879853487,7.7252758745674734,5.215261274261344,0.34806629834254144
566597.0485740819,5932850.100313786,5.296964524158764,6.706467383069346,2.1367416456720996,0.0,-6.637833983055316,2.748988422565162,7.184551296636506,5.255886515450928,0.35359116022099446
566597.8476876714,5932850.197593566,5.589505032578612,7.003414635142748,2.173363086438403,0.0,-6.228362494963221,2.8886694610118866,6.865632572723884,5.294567393883788,0.35911602209944754
566598.7720863563,5932850.320369205,5.587461680542889,7.2564056268175,2.2022379929594447,0.0,-5.6959060818189755,3.01174474041909,6.443132194386862,5.363489341888746,0.36464088397790057
