X,Y,Z,X_std,Y_std,Z_std,X_error,Y_error,total_error,error_sorted,proportional_values
566561.225357315,5932846.715054355,1.412958411440803,1.0218734865773516,1.0065813016699021,0.0,-0.18431265244726092,0.006263016723096371,0.18441903163887013,0.18441903163887013,0.0
566561.8047706726,5932846.927730686,1.8126559015677852,1.0436683128289654,1.0332916825504088,0.0,-0.42235238815192133,0.04307087603956461,0.4245428601925214,0.4245428601925214,0.0055248618784530384
566562.3916167666,5932847.138900046,1.8079062516907107,1.0767055458005497,1.0789409952844529,0.0,-0.654068665811792,0.08360928110778332,0.6593908791332938,0.6593908791332938,0.011049723756906077
566562.9941080151,5932847.343697441,1.749952038752502,1.1199297765790464,1.1425763213188196,0.0,-0.873047235305421,0.1323726512491703,0.8830254774768244,0.8339137769949406,0.016574585635359115
566563.5880863161,5932847.557662255,1.565356631425957,1.172595485620061,1.2200754180873024,0.0,-1.0975785449845716,0.17545360047370195,1.111513665381418,0.8637083751421504,0.022099447513812154
566564.226893151,5932847.740748302,1.405104559870879,1.2323579978578914,1.3147390701136827,0.0,-1.286857803701423,0.24264011718332767,1.3095332120316725,0.8830254774768244,0.027624309392265192
566564.8469786856,5932847.9151885165,1.3396756990434688,1.2981483182702998,1.4170186018576059,0.0,-1.4954069316154346,0.3051702072843909,1.5262276195042097,0.9322542322337544,0.03314917127071823
566565.4716158704,5932848.051755943,1.5743907391598533,1.3674524998499458,1.5270706405378276,0.0,-1.7045590650523081,0.37885160744190216,1.7461529562765434,0.9407876177460194,0.03867403314917127
566566.0533520572,5932848.218811962,1.313907152030297,1.442632109886095,1.6369849732008048,0.0,-1.9508201647549868,0.42937534861266613,1.9975140813548529,0.9420542494418984,0.04419889502762431
566566.7043189222,5932848.34516345,1.5859096328382765,1.52062157404618,1.7630889518951662,0.0,-2.1348955507855862,0.5125560257583857,2.195562044740554,0.9526984381257326,0.049723756906077346
566567.3354887139,5932848.449542165,1.6109443959089218,1.6057645771194538,1.8549863957412092,0.0,-2.3380444061476737,0.5615120567381382,2.4045264471368832,1.0354470830670066,0.055248618784530384
566567.9463879315,5932848.524104492,1.5140176483757708,1.6876191427188179,1.9774465158974825,0.0,-2.5632628633175045,0.6442299550399184,2.642981033120251,1.0935584094041018,0.06077348066298342
566568.5879256107,5932848.589600068,1.560550993461472,1.7711633466433105,2.08082807043557,0.0,-2.7578376851743087,0.701055770739913,2.8455487856396564,1.107506344322631,0.06629834254143646
566569.2405025441,5932848.650027048,1.8221282313233151,1.8532204339895308,2.215381615480717,0.0,-2.9410767399240285,0.7853765515610576,3.0441334921228553,1.1084409887448068,0.0718232044198895
566569.8605174756,5932848.742900457,1.6184993550613038,1.9431848977288901,2.328317878662903,0.0,-3.1559671133290976,0.8325070738792419,3.2639234746656935,1.111513665381418,0.07734806629834254
566570.5895200893,5932848.7502577305,1.5147807637914885,2.025487016697634,2.411085995314821,0.0,-3.263012111536227,0.8263118881732225,3.3660123850884007,1.179382940749285,0.08287292817679558
566571.2502749253,5932848.822034928,1.4189296529189677,2.0925676255065055,2.4214725675551496,0.0,-3.437899733427912,0.8687469400465488,3.5459661339251323,1.1831442291187895,0.08839779005524862
566571.9446380213,5932848.83858539,1.4083577097611493,2.1792018196569582,2.5059872470666202,0.0,-3.57885720662307,0.9226982882246375,3.6958883961086486,1.2141037125159502,0.09392265193370165
566572.6287799628,5932848.869523101,1.2851051069762758,2.2879641026834827,2.5442591803989023,0.0,-3.7303384110564366,0.9835230810567737,3.8578157436526785,1.2155435711618798,0.09944751381215469
566573.3384872018,5932848.875040805,1.2822398616647455,2.339269447490697,2.605212649478447,0.0,-3.85357208608184,1.0623122826218605,3.9973147497336776,1.2568380450655048,0.10497237569060773
566574.0041115838,5932848.93646826,1.4548269704101304,2.465357334520997,2.703840076820647,0.0,-4.024103140458465,1.1219053911045194,4.17756840657781,1.3095332120316725,0.11049723756906077
566574.747021719,5932848.957520463,1.4191459112238611,2.544670094091719,2.7559233410011283,0.0,-4.115241361432709,1.2023092480376363,4.287278739569351,1.325992081077703,0.11602209944751381
566575.4892455342,5932848.958862551,1.4402840610343013,2.5752633574802624,2.8324821736605226,0.0,-4.20901976141613,1.2197626950219274,4.382199035205801,1.3787936821270306,0.12154696132596685
566576.2807924997,5932848.944780499,1.3045573713614982,2.597081556225241,2.8597433607593743,0.0,-4.253048715065233,1.236860167235136,4.429248970876548,1.3912223046989363,0.1270718232044199
566576.9764011538,5932849.069762809,1.2791540304442095,2.6707594370677117,2.9698290790335458,0.0,-4.3929787672823295,1.3296811822801828,4.589805496565558,1.3963602690605619,0.13259668508287292
566577.6765317409,5932849.067026616,1.3309252578384172,2.7483446347520037,3.0158569220777323,0.0,-4.528928120387718,1.3383297454565763,4.722532840247116,1.4411508215142328,0.13812154696132597
