# time,x,y,error
1.662547934334000000e+12,2.965196142952579095e+01,1.870632320097201884e+01,nan
1.662547934914000000e+12,2.848485883056093471e+01,1.870657235367400517e+01,1.999219242718326406e+00
1.662547935554000000e+12,2.808754395863392261e+01,1.839317225149299517e+01,1.866118083535192929e+00
1.662547936189000000e+12,2.733231874449433718e+01,1.866146798470308710e+01,1.901525354950886149e+00
1.662547936754000000e+12,2.697557613133536236e+01,1.834530561798700177e+01,1.617093810673490895e+00
1.662547937319000000e+12,2.638260835034280305e+01,1.928222474605059844e+01,1.622166597497102014e+00
1.662547937909000000e+12,2.467832877836530159e+01,1.948416604390362394e+01,2.661554785379337318e+00
1.662547938599000000e+12,2.425133194541270498e+01,1.912578009780854771e+01,nan
1.662547939144000000e+12,2.345890288867439466e+01,2.014163351205291974e+01,2.689474601020749756e+00
1.662547939599000000e+12,2.314809952188998921e+01,1.986051477589314374e+01,nan
1.662547940489000000e+12,2.196621797690347222e+01,2.014329157767930667e+01,nan
1.662547941184000000e+12,2.156746965893478674e+01,1.990605350000710771e+01,nan
1.662547941789000000e+12,1.339350723572512258e+01,2.955224716386064188e+01,nan
1.662547942354000000e+12,1.299064464154720611e+01,2.933820184713432866e+01,1.395359203335120313e+01
1.662547942924000000e+12,1.322065514016389898e+01,2.926101705564361666e+01,nan
1.662547943494000000e+12,1.298532277096499499e+01,2.879004703959732581e+01,1.265719824600995480e+01
1.662547944039000000e+12,1.878874881269252484e+01,1.665615153421495975e+01,2.612211479957592175e+00
1.662547944604000000e+12,1.854036651780943856e+01,1.619164637458183265e+01,2.824451578397118023e+00
1.662547945149000000e+12,1.656746531133505940e+01,1.868471936822200874e+01,nan
1.662547945734000000e+12,1.626446586172728459e+01,1.833753498682002814e+01,nan
1.662547946269000000e+12,1.590877599155666999e+01,1.859745559516248292e+01,1.832635540599969914e+00
1.662547946849000000e+12,1.566086298762972540e+01,1.818640015280340094e+01,nan
1.662547947384000000e+12,1.514144605183740566e+01,1.787313009075573333e+01,1.608705585717669528e+00
1.662547947949000000e+12,1.475673466886837204e+01,1.717688638199008366e+01,1.853800053430868733e+00
1.662547948514000000e+12,1.487039605793889407e+01,1.672263795014998422e+01,1.726258379390245290e+00
1.662547949074000000e+12,1.501363603558999138e+01,1.569659691007833047e+01,nan
1.662547949644000000e+12,1.551776953321032870e+01,1.554933296266280784e+01,1.958956079536572803e+00
1.662547950229000000e+12,1.515329637295927689e+01,1.449714239528077897e+01,2.305735022318601501e+00
1.662547950809000000e+12,1.557452498959928100e+01,1.458201800666111048e+01,nan
1.662547951354000000e+12,1.600729633263253859e+01,1.380561955326144208e+01,nan
1.662547951904000000e+12,1.638981093566411218e+01,1.411784791484835289e+01,1.548322997862318084e+00
1.662547952459000000e+12,1.690879661222368924e+01,1.328491046163910205e+01,1.890426779833122906e+00
1.662547953014000000e+12,1.804910984477691471e+01,1.303638384960123453e+01,nan
