# time,x,y,error
1.662547934334000000e+12,3.141083973627102921e+01,1.849696398992579915e+01,nan
1.662547934914000000e+12,3.107411990285020664e+01,1.823098575243598773e+01,7.403787592361436021e-01
1.662547935554000000e+12,3.066077257096917918e+01,1.791993508594425322e+01,1.085665444464520402e+00
1.662547936189000000e+12,2.743985367597575120e+01,1.869410064965235918e+01,1.793326771741448278e+00
1.662547936754000000e+12,2.706178106536383865e+01,1.837114155178139896e+01,1.527239534466870996e+00
1.662547937319000000e+12,2.675884722502561175e+01,1.810892427154966455e+01,1.301428409254008267e+00
1.662547937909000000e+12,2.637586797145738515e+01,1.775135630421499400e+01,1.291728467253684176e+00
1.662547938599000000e+12,2.596602726367542857e+01,1.737363857603234862e+01,nan
1.662547939144000000e+12,2.560222265593415614e+01,1.697715948253235396e+01,1.802012843997383706e+00
1.662547939599000000e+12,2.530391293333429559e+01,1.667597942063185457e+01,nan
1.662547940489000000e+12,2.496775864617413987e+01,1.632483350460849181e+01,nan
1.662547941184000000e+12,2.465385324953957635e+01,1.598317581860834835e+01,nan
1.662547941789000000e+12,2.428814154458461871e+01,1.561249215082093222e+01,nan
1.662547942354000000e+12,2.385634268711175210e+01,1.543522069006464470e+01,3.779601547512039694e+00
1.662547942924000000e+12,1.332660361138981564e+01,2.912584653915740773e+01,nan
1.662547943494000000e+12,1.292636879044409781e+01,2.890563551507392148e+01,1.278449518252168637e+01
1.662547944039000000e+12,1.266949432833517797e+01,2.858134654931364693e+01,1.235306509560533783e+01
1.662547944604000000e+12,1.237834172066835592e+01,2.820431229641919657e+01,1.185113526068087886e+01
1.662547945149000000e+12,1.210316911408947682e+01,2.780981123778164843e+01,nan
1.662547945734000000e+12,1.181761897456154031e+01,2.742777839430078402e+01,nan
1.662547946269000000e+12,1.154403013263877220e+01,2.702072992287520492e+01,1.027385818187802613e+01
1.662547946849000000e+12,1.130006308769390522e+01,2.660188306728844054e+01,nan
1.662547947384000000e+12,1.110103293982533401e+01,2.616085793578533725e+01,9.157491422059493402e+00
1.662547947949000000e+12,1.097650527187574454e+01,2.568393394500457916e+01,8.624745796543304976e+00
1.662547948514000000e+12,1.109529184840692473e+01,2.523901069966997213e+01,8.167027495746996379e+00
1.662547949074000000e+12,1.150111723202531522e+01,2.494481896517439523e+01,nan
1.662547949644000000e+12,1.204094943498164838e+01,2.471633239869420251e+01,7.847527764507573167e+00
1.662547950229000000e+12,1.505515881303441539e+01,1.464758538114018727e+01,2.142971875358315792e+00
1.662547950809000000e+12,1.550998366328211553e+01,1.465375581619925249e+01,nan
1.662547951354000000e+12,1.599088829599624262e+01,1.486598582820258052e+01,nan
1.662547951904000000e+12,1.637105684806794059e+01,1.520028760524153100e+01,1.278538663655017338e+00
1.662547952459000000e+12,1.660261203703997523e+01,1.563021006273753954e+01,1.688749158991263766e+00
1.662547953014000000e+12,1.668682918343039390e+01,1.602124391239075862e+01,nan
1.662547953589000000e+12,1.661123067329191372e+01,1.651913146165705015e+01,2.846717894396970205e+00
1.662547954164000000e+12,1.634488181903250137e+01,1.685807571097729607e+01,3.437792048452909199e+00
1.662547954679000000e+12,1.597246088148627052e+01,1.713441289437748338e+01,nan
1.662547955239000000e+12,1.555665655141349824e+01,1.738369191342718878e+01,4.918030479937739230e+00
1.662547955809000000e+12,1.513994151984497627e+01,1.759372022771128385e+01,nan
1.662547956309000000e+12,1.479655753755274361e+01,1.773686955706180157e+01,6.565187775152508287e+00
1.662547956929000000e+12,2.282063510674751328e+01,1.287635424430293618e+01,2.483277456319532117e+00
1.662547957414000000e+12,2.245146545477987132e+01,1.292609736031689316e+01,nan
1.662547957959000000e+12,2.204541920695053747e+01,1.303225082184493999e+01,nan
1.662547958469000000e+12,2.162328377841989990e+01,1.314807280022945157e+01,nan
1.662547959004000000e+12,2.116483131371312965e+01,1.328526224530632760e+01,1.787595441551822928e+00
1.662547959549000000e+12,2.070162834854948741e+01,1.339648199558344466e+01,nan
1.662547960094000000e+12,2.019407833278522801e+01,1.350950916530320889e+01,nan
1.662547960624000000e+12,1.979397030996515028e+01,1.359150736369676160e+01,5.137041605352546725e+00
1.662547961174000000e+12,1.928815039263506392e+01,1.368246223249683524e+01,6.309836279129449998e+00
1.662547961739000000e+12,1.880721129178051498e+01,1.377254793714937264e+01,7.447510363414636458e+00
1.662547962284000000e+12,1.831108205614101792e+01,1.385189613039799461e+01,nan
1.662547962834000000e+12,1.786540336657236239e+01,1.391013067940991732e+01,9.694198461048520343e+00
1.662547963354000000e+12,1.749332785341644225e+01,1.396567753724582062e+01,nan
1.662547963889000000e+12,3.099720908785058882e+01,1.485196207608601071e+01,2.535881200493896426e+00
1.662547964434000000e+12,3.071925742732567244e+01,1.476301294631260141e+01,1.638795472306076473e+00
1.662547964984000000e+12,3.026967462349278293e+01,1.450473256390339571e+01,5.911617423426843709e-01
1.662547965534000000e+12,2.997717425901421961e+01,1.410129962343929577e+01,5.950388287849791569e-01
1.662547966074000000e+12,2.985108196572763717e+01,1.362094696428657237e+01,nan
1.662547966629000000e+12,2.989105578711611599e+01,1.314167793678555718e+01,2.635861253460404008e+00
1.662547967209000000e+12,3.005195723000568009e+01,1.267309407797796439e+01,3.667967491492018617e+00
1.662547967759000000e+12,3.029369626818144567e+01,1.226368557919516000e+01,4.639409002714701913e+00
1.662547968309000000e+12,3.056725241778849167e+01,1.190970816644795960e+01,5.526590309285919211e+00
1.662547968869000000e+12,3.098190067292415861e+01,1.158892076690613671e+01,6.469443582581337004e+00
1.662547969449000000e+12,3.137035136417093284e+01,1.148680327658307831e+01,nan
1.662547969994000000e+12,3.182544399670547719e+01,1.164052742388862782e+01,7.444572040592682960e+00
1.662547970549000000e+12,3.209170288212005318e+01,1.206926433766478901e+01,7.441429106207392508e+00
1.662547971099000000e+12,2.734347591114239862e+01,1.936315472063068910e+01,2.191913260491498594e+00
1.662547971644000000e+12,2.737611429776129768e+01,1.988594682306491279e+01,1.578879644674718197e+00
1.662547972169000000e+12,2.742367483083695845e+01,2.037030578841785200e+01,1.216277460720690096e+00
1.662547972749000000e+12,2.744721424347142857e+01,2.087372897774360325e+01,1.400507829704445539e+00
1.662547973279000000e+12,2.745854339932120780e+01,2.139296412690050886e+01,nan
1.662547973809000000e+12,2.747008828201302677e+01,2.191866064055143326e+01,2.728393920045736554e+00
1.662547974394000000e+12,2.746374636097426603e+01,2.242844664943039490e+01,nan
1.662547974929000000e+12,2.746103579550088369e+01,2.295391424534869174e+01,4.346582672563323868e+00
1.662547975604000000e+12,2.739493742392665254e+01,2.348272737622306039e+01,5.267820654259005586e+00
1.662547976674000000e+12,2.731596007871256404e+01,2.395085476820027637e+01,nan
1.662547977054000000e+12,2.725774575919541931e+01,2.441620300383362263e+01,nan
1.662547977579000000e+12,2.709860879176080672e+01,2.487922331878231574e+01,nan
1.662547978109000000e+12,1.850275705017913452e+01,1.934664759276529722e+01,nan
1.662547978664000000e+12,1.834826210892905607e+01,1.978053514546601477e+01,1.902367802340865000e+00
1.662547979169000000e+12,1.828163426988470519e+01,2.031756431452365064e+01,nan
1.662547979694000000e+12,1.819512636287980456e+01,2.081122023902486973e+01,nan
1.662547980269000000e+12,1.808911371193308781e+01,2.134210833502805116e+01,2.122813194909254797e+00
1.662547980789000000e+12,1.793532478188103596e+01,2.181983064617188361e+01,nan
1.662547981319000000e+12,1.768086659798262872e+01,2.215312316109393009e+01,3.324870019738316085e+00
1.662547981874000000e+12,1.724059001944278435e+01,2.230179853201002516e+01,3.870796903994652816e+00
1.662547982414000000e+12,1.671564032428545588e+01,2.224372921436174977e+01,nan
1.662547982984000000e+12,1.623958106126796963e+01,2.195953933483008313e+01,4.660987561651755762e+00
1.662547983529000000e+12,1.593079089363574141e+01,2.151114009280085426e+01,4.843392239000881005e+00
1.662547984044000000e+12,1.573900058079364683e+01,2.096496553297044940e+01,4.930175689568875086e+00
1.662547984599000000e+12,1.576026980390284216e+01,2.032134562693449098e+01,nan
1.662547985149000000e+12,1.919156727763688508e+01,1.416239973314311129e+01,nan
1.662547985769000000e+12,1.973937863636755097e+01,1.391185412959656809e+01,nan
1.662547986209000000e+12,2.020708591691049349e+01,1.382728656065215134e+01,1.901595234903440179e+00
1.662547986779000000e+12,2.073558130237629982e+01,1.378100775560223745e+01,1.728272393310154698e+00
1.662547987309000000e+12,2.123897765699371831e+01,1.376663175196645739e+01,1.540560409552538479e+00
1.662547987849000000e+12,2.174718880498149076e+01,1.388901096493921017e+01,nan
1.662547988374000000e+12,2.218609640518389270e+01,1.403207360372154433e+01,nan
1.662547988889000000e+12,2.270564366223138109e+01,1.420070208220797880e+01,9.046829045422388749e-01
1.662547989454000000e+12,2.312994974527954639e+01,1.436927948295653579e+01,5.484546904553444513e-01
1.662547990024000000e+12,2.366974266034781493e+01,1.456205475949772321e+01,3.257120065700502276e-01
1.662547990439000000e+12,2.416199090428023766e+01,1.475187162638927951e+01,3.120600057434469998e-01
1.662547990999000000e+12,2.464999448982988284e+01,1.497375984461712939e+01,nan
1.662547991499000000e+12,2.512383896802197825e+01,1.517338073777125906e+01,5.924305309115450724e-01
1.662547992064000000e+12,2.870206284440888211e+01,1.501069606719547878e+01,2.782540567703031709e+00
1.662547992589000000e+12,2.914424224086382864e+01,1.525152347146831566e+01,2.579761133037482335e+00
1.662547993224000000e+12,2.964314630316919974e+01,1.553448155852087709e+01,2.363648064961738182e+00
1.662547993639000000e+12,3.002609822676377860e+01,1.578024918062427240e+01,nan
1.662547994209000000e+12,3.052458179328142052e+01,1.604512211752930284e+01,2.212273516786031902e+00
1.662547994734000000e+12,3.090883630502889901e+01,1.620774950805643755e+01,nan
1.662547995304000000e+12,3.142473293908899379e+01,1.631521342099402716e+01,2.185157182896615424e+00
1.662547995829000000e+12,3.192821047040064286e+01,1.618891174400528143e+01,nan
1.662547996409000000e+12,3.229061582434736266e+01,1.575222067784249802e+01,2.283744893900427009e+00
1.662547996914000000e+12,3.237301551609102290e+01,1.525468171792834227e+01,2.226878928893006648e+00
1.662547997489000000e+12,3.205265197950248535e+01,1.482501515995599917e+01,nan
1.662547998009000000e+12,3.157021852520057692e+01,1.470388022333799327e+01,2.462461059754331938e+00
1.662547998594000000e+12,3.101873412097920024e+01,1.486973787098637523e+01,2.867671647513305277e+00
1.662547999094000000e+12,2.715113502685786173e+01,1.125389235879704053e+01,nan
1.662547999669000000e+12,2.667271777085873197e+01,1.148029550771541096e+01,nan
1.662548000184000000e+12,2.622491267775183488e+01,1.167302858100383212e+01,1.838437807628238607e+00
1.662548000754000000e+12,2.584611684993038949e+01,1.182604611873582989e+01,1.575566476668244231e+00
1.662548001279000000e+12,2.537095340335613258e+01,1.200929546211861343e+01,1.515499980737797125e+00
1.662548001849000000e+12,2.485583460081449658e+01,1.220725386789748867e+01,nan
1.662548002344000000e+12,2.447030535453458455e+01,1.238874366218271383e+01,1.644327038371304672e+00
1.662548002919000000e+12,2.400184441794839785e+01,1.267282573278125746e+01,1.833422476144108249e+00
1.662548003429000000e+12,2.363688508589284254e+01,1.288049133698459947e+01,1.970072709129625732e+00
1.662548003979000000e+12,2.315589242909503298e+01,1.312253584054652933e+01,nan
1.662548004499000000e+12,2.269892618877969070e+01,1.337026072106525554e+01,2.518251554808575321e+00
1.662548005204000000e+12,2.220346357719656893e+01,1.365068700605999119e+01,nan
1.662548005579000000e+12,2.173479232045962561e+01,1.383893470503392642e+01,nan
1.662548006134000000e+12,1.815383420132716807e+01,1.039006342019540874e+01,2.599143205832279868e+00
1.662548006939000000e+12,1.764880549461546266e+01,1.058588914303700435e+01,nan
1.662548007254000000e+12,1.716984491055043449e+01,1.084733823600895875e+01,2.189690656883414466e+00
1.662548007734000000e+12,1.666108432352573487e+01,1.113314954086866493e+01,nan
1.662548008289000000e+12,1.623461934296137699e+01,1.138904601874091860e+01,2.008331684249842208e+00
1.662548008849000000e+12,1.580339533887469727e+01,1.171681182243856512e+01,nan
1.662548009479000000e+12,1.545981274975619790e+01,1.217211712113911837e+01,1.775958401898115158e+00
1.662548009914000000e+12,1.525924661709535890e+01,1.264759882042519301e+01,1.796141578813174045e+00
1.662548010469000000e+12,1.523574757537732971e+01,1.323658525263128460e+01,nan
1.662548010969000000e+12,1.528441295872883110e+01,1.369836471013189616e+01,1.880537594026106651e+00
1.662548011479000000e+12,1.540138330681676138e+01,1.413999894388001444e+01,2.010716611481797589e+00
1.662548012009000000e+12,1.562878632936609336e+01,1.458606654550857051e+01,2.264623335218162392e+00
1.662548012534000000e+12,1.586010584864089346e+01,1.491602296387472926e+01,2.494540534144256583e+00
1.662548013059000000e+12,1.303642280943373599e+01,1.681827126941880124e+01,2.861718754593927105e+00
1.662548013604000000e+12,1.332372297658920246e+01,1.710842488887937307e+01,nan
1.662548014134000000e+12,1.374178024944728982e+01,1.741891934055410829e+01,2.157066294226047010e+00
1.662548014684000000e+12,1.421462238486486918e+01,1.770847393719773066e+01,2.064507507140300735e+00
1.662548015174000000e+12,1.460460916227508577e+01,1.789774097341289050e+01,2.039942710762308042e+00
1.662548015799000000e+12,1.522261668810876323e+01,1.805406771066486016e+01,2.308708448038331973e+00
1.662548016249000000e+12,1.580123279806599790e+01,1.815614091596978596e+01,2.765515357587681855e+00
1.662548016874000000e+12,1.643651320200710941e+01,1.810659095203975610e+01,3.275467066809967243e+00
1.662548017284000000e+12,1.686175243856133577e+01,1.797708455985794629e+01,nan
1.662548017869000000e+12,1.733581276908704538e+01,1.758763978834591413e+01,nan
1.662548018379000000e+12,1.767177772128321678e+01,1.707957602172144718e+01,4.477562578516116609e+00
1.662548018929000000e+12,1.787292280874904193e+01,1.661369344200373277e+01,4.759003294154690700e+00
1.662548019439000000e+12,1.803735951879240673e+01,1.615084338357296190e+01,5.044897486682230259e+00
1.662548020024000000e+12,1.852708434711020402e+01,2.125751709069596629e+01,2.416045568115503084e+00
1.662548020504000000e+12,1.864960891391297437e+01,2.087361435781557262e+01,1.864326877646228509e+00
1.662548021049000000e+12,1.875731570883176857e+01,2.036684168027388608e+01,1.393897765305850411e+00
1.662548021564000000e+12,1.886300836912766599e+01,1.986768823055457389e+01,nan
1.662548022109000000e+12,1.895668708424889815e+01,1.932277260401071217e+01,1.678100875852324148e+00
1.662548022599000000e+12,1.907182335052606348e+01,1.883792136046235655e+01,2.226512255118990868e+00
1.662548023149000000e+12,1.922842214998217614e+01,1.835901650324167633e+01,nan
1.662548023674000000e+12,1.942269996026118761e+01,1.784079234339814235e+01,3.531059197765809898e+00
1.662548024204000000e+12,1.961757848741880039e+01,1.735661450921425697e+01,4.200644203849368985e+00
