# time,x,y,error
1.662388476374000000e+12,2.971095855416400155e+01,1.911165886323789920e+01,nan
1.662388476964000000e+12,2.931373507095660358e+01,1.875929993051520484e+01,1.284800928382939800e+00
1.662388477544000000e+12,2.885685712774022704e+01,1.843301244604706923e+01,nan
1.662388478124000000e+12,2.837373897259493916e+01,1.807723846281919222e+01,nan
1.662388478654000000e+12,2.780251490399644609e+01,1.768991870368212460e+01,nan
1.662388479204000000e+12,2.721526417328286840e+01,1.729506533449161410e+01,nan
1.662388479744000000e+12,2.659278394527220613e+01,1.697119636790237251e+01,2.969684161543780565e+00
1.662388480314000000e+12,2.599886565333306976e+01,1.665943088262337568e+01,3.356852011251403312e+00
1.662388480814000000e+12,2.545109286703090135e+01,1.637608201158083787e+01,3.629742142963982232e+00
1.662388481414000000e+12,2.491494209821872019e+01,1.606805803399669230e+01,4.069690517930182772e+00
1.662388481934000000e+12,2.440684814824840743e+01,1.583141915326554461e+01,4.373663436014852302e+00
1.662388482504000000e+12,2.386849362875972247e+01,1.553399320294976960e+01,4.791152911493421485e+00
1.662388483024000000e+12,2.329729775602926622e+01,1.523822864379556741e+01,5.094876942086612459e+00
1.662388483564000000e+12,2.268082893284499590e+01,1.502932129048589616e+01,nan
1.662388484094000000e+12,1.634527152916642123e+01,1.887569071648067265e+01,nan
1.662388484674000000e+12,1.567435631536067042e+01,1.868503908387364731e+01,1.936348210437831119e+00
1.662388485184000000e+12,1.503377039182499431e+01,1.851274403812839608e+01,nan
1.662388485764000000e+12,1.440863117910450519e+01,1.829202177366921589e+01,1.834022452733075514e+00
1.662388486294000000e+12,1.379248661581293334e+01,1.807041764805389406e+01,1.855882681434250392e+00
1.662388486874000000e+12,1.343678321072617088e+01,1.758205568543419162e+01,1.813419412984769608e+00
1.662388487414000000e+12,1.327124257566719301e+01,1.696012884747475979e+01,1.791015145972447709e+00
1.662388487964000000e+12,1.335077102508926394e+01,1.638661585294759249e+01,1.529453239647936558e+00
1.662388488544000000e+12,1.340204315443257954e+01,1.576970682159650217e+01,nan
1.662388489114000000e+12,1.349670123644470721e+01,1.510046672569684567e+01,1.199459645540932984e+00
1.662388489634000000e+12,1.349773944522673119e+01,1.447958736358492082e+01,1.166090419485974694e+00
1.662388490194000000e+12,1.355486588821165661e+01,1.384394609909986507e+01,1.038759594990570134e+00
1.662388490744000000e+12,1.362229952768733376e+01,1.321663535000374345e+01,9.560029010910772174e-01
1.662388491314000000e+12,1.402186731604627745e+01,1.270732567770921939e+01,7.024797314090971412e-01
