# time,x,y,error
1.662388476374000000e+12,2.963571651258595452e+01,1.906792093462255266e+01,nan
1.662388476964000000e+12,2.923813356343396208e+01,1.871565965707517876e+01,1.220762342402857081e+00
1.662388477544000000e+12,2.874459009386863073e+01,1.839933300048984677e+01,nan
1.662388478124000000e+12,2.452194771707451082e+01,1.905946580613234786e+01,nan
1.662388478654000000e+12,2.391405812178823709e+01,1.868210687497013112e+01,nan
1.662388479204000000e+12,2.332644789056935153e+01,1.828735117034396040e+01,nan
1.662388479744000000e+12,2.270396413770509980e+01,1.796348316134249146e+01,1.986529917797772882e+00
1.662388480314000000e+12,2.211004581120530688e+01,1.765171768545247488e+01,2.042964768783725571e+00
1.662388480814000000e+12,2.156227302456933614e+01,1.736836881449839254e+01,2.125996364499714630e+00
1.662388481414000000e+12,2.102612225627087383e+01,1.706034483654733336e+01,2.253049266944952223e+00
1.662388481934000000e+12,2.051802835903412969e+01,1.682370591830230566e+01,2.353584018764017571e+00
1.662388482504000000e+12,1.997967921785467738e+01,1.652627614193770711e+01,2.599105646899301458e+00
1.662388483024000000e+12,1.940903187993274059e+01,1.623012136331742283e+01,2.824966254031310520e+00
1.662388483564000000e+12,1.884850822890764022e+01,1.598141545051667656e+01,nan
1.662388484094000000e+12,1.821880985065589798e+01,1.576872202788792343e+01,nan
1.662388484674000000e+12,1.758270045100723777e+01,1.557065901213841208e+01,3.478388112630993234e+00
1.662388485184000000e+12,1.478644854606832304e+01,1.870146573448274196e+01,nan
1.662388485764000000e+12,1.414017332141520988e+01,1.851312993387615791e+01,2.013277015062355790e+00
1.662388486294000000e+12,1.352382152239961499e+01,1.829184335313669152e+01,2.010537339429153025e+00
1.662388486874000000e+12,1.316811608539474499e+01,1.780348450400133231e+01,1.883759814074285721e+00
1.662388487414000000e+12,1.300257543041308672e+01,1.718155769656919318e+01,1.812475032702371536e+00
1.662388487964000000e+12,1.308210387963985077e+01,1.660804470234134200e+01,1.485043178829815291e+00
1.662388488544000000e+12,1.313337600898421087e+01,1.599113567099306188e+01,nan
