# time,x,y,error
1.662391171774000000e+12,2.987427126319370885e+01,1.904901777038199739e+01,nan
1.662391172414000000e+12,2.942340210109198040e+01,1.875474532020514218e+01,nan
1.662391173014000000e+12,2.894385563023131880e+01,1.847331471275263226e+01,1.550076603204663117e+00
1.662391173604000000e+12,2.455702400609946423e+01,1.892176351622158847e+01,nan
1.662391174164000000e+12,2.408286803929012621e+01,1.854876012412064767e+01,nan
1.662391174724000000e+12,2.368112949094355457e+01,1.808086817279697911e+01,1.794018985571516067e+00
1.662391175264000000e+12,2.322249004261442806e+01,1.757633583364744112e+01,nan
1.662391175874000000e+12,2.281603991600729842e+01,1.703843768162198913e+01,2.143497402230854831e+00
1.662391176404000000e+12,2.226721767180117695e+01,1.667934683356175185e+01,2.433009381994679643e+00
1.662391176994000000e+12,2.154801420499090270e+01,1.666104035592060484e+01,nan
1.662391177584000000e+12,2.101058963781778743e+01,1.696295042941299158e+01,3.038893311080059778e+00
1.662391178184000000e+12,2.048942220042089701e+01,1.726533338242224147e+01,nan
1.662391178744000000e+12,2.071717851378293318e+01,2.241377218572704777e+01,1.815449210586109752e+00
1.662391179304000000e+12,2.015216430629066124e+01,2.229612009632905156e+01,1.869652578903732820e+00
1.662391179824000000e+12,1.972673063779894065e+01,2.190860086011397456e+01,1.845370627232508776e+00
1.662391180444000000e+12,1.943587383434884686e+01,2.144896267689138014e+01,1.770109840222998665e+00
1.662391181014000000e+12,1.915792728584116489e+01,2.095162028422427980e+01,nan
1.662391181574000000e+12,1.893757434599547196e+01,2.037715176274279827e+01,2.205273248900266658e+00
1.662391182114000000e+12,1.868565130172252609e+01,1.981143819843085296e+01,2.634277013756731289e+00
1.662391182684000000e+12,1.850612219140542436e+01,1.921485748863288734e+01,3.283075518960604899e+00
1.662391183214000000e+12,1.829149753875198314e+01,1.864667234934180939e+01,3.895411344712400137e+00
1.662391183794000000e+12,1.496678681969054203e+01,2.115010895808219615e+01,nan
1.662391184334000000e+12,1.502113364510788607e+01,2.048613374437657697e+01,1.932914878510887835e+00
1.662391184894000000e+12,1.550363968404316850e+01,1.999667140507510510e+01,2.068061839598411833e+00
1.662391185454000000e+12,1.604947619362774702e+01,1.968133297277238469e+01,nan
1.662391186094000000e+12,1.664754306324150335e+01,1.953781280558742495e+01,nan
1.662391186624000000e+12,1.730345799115674055e+01,1.947178774128506973e+01,2.626394217863586178e+00
1.662391187204000000e+12,1.779387819458150943e+01,1.984698386299806216e+01,nan
1.662391187764000000e+12,1.808627170020665176e+01,2.037556057993023018e+01,3.016185594208513621e+00
1.662391188404000000e+12,1.905913925816118493e+01,1.917388482721940690e+01,2.991235616294077637e+00
1.662391188954000000e+12,1.913571793027780288e+01,1.976642742059286917e+01,2.498016969249861496e+00
1.662391189524000000e+12,1.909305282422840477e+01,2.046876211120860489e+01,2.172180285142081946e+00
1.662391190084000000e+12,1.910868384228070127e+01,2.116284416537313362e+01,2.286504287775446453e+00
1.662391190654000000e+12,1.900192195784504179e+01,2.186657862484151238e+01,nan
1.662391191214000000e+12,1.889844463197743707e+01,2.256003343859468657e+01,3.577405959739138108e+00
1.662391191794000000e+12,1.874585515892320586e+01,2.325090114401357511e+01,nan
1.662391192404000000e+12,1.899357160700972003e+01,2.382513379041698087e+01,5.353449613803262785e+00
1.662391192994000000e+12,1.951980785495578630e+01,2.419056353927829051e+01,nan
1.662391193564000000e+12,2.252550415106912496e+01,1.601689282829901728e+01,nan
1.662391194194000000e+12,2.312554589719107057e+01,1.626440362861460898e+01,1.911669048352585110e+00
1.662391194804000000e+12,2.359594777341222027e+01,1.668249190824305828e+01,2.036802819950898957e+00
1.662391195344000000e+12,2.349172185122647960e+01,1.722797639107108836e+01,2.021167624298226606e+00
1.662391196004000000e+12,2.320693175478496073e+01,1.775681762398855668e+01,1.899535470166310525e+00
1.662391196574000000e+12,2.288377371444047981e+01,1.826011591303257120e+01,2.332370347796881571e+00
1.662391197124000000e+12,2.255640687490314278e+01,1.879745511736860664e+01,3.113879938764458011e+00
1.662391197684000000e+12,2.214772934983265884e+01,1.934313183294532124e+01,4.239561728694148712e+00
1.662391198244000000e+12,2.181369212363849286e+01,1.991626687507649152e+01,nan
1.662391198814000000e+12,2.889777598599355102e+01,1.612449137393562282e+01,2.760592808895497630e+00
1.662391199374000000e+12,2.852176319289650763e+01,1.661753021928185703e+01,nan
1.662391199954000000e+12,2.798131296991044792e+01,1.706372629114379436e+01,1.248984736253272665e+00
1.662391200494000000e+12,2.726618898692400705e+01,1.742984489801079917e+01,1.693987709504874317e+00
1.662391201074000000e+12,2.658337102184907508e+01,1.719152831311635765e+01,nan
1.662391201684000000e+12,2.607640765047509035e+01,1.677699404361160873e+01,2.926529025599740486e+00
1.662391202304000000e+12,2.566786746822912590e+01,1.631619651702134632e+01,3.709716772249886052e+00
1.662391202854000000e+12,2.540120567856134670e+01,1.571583908554190501e+01,4.424456157071511520e+00
1.662391203414000000e+12,2.698016627066090578e+01,1.875523502190762670e+01,nan
1.662391204094000000e+12,2.743255923395875229e+01,1.832717845524713596e+01,nan
1.662391204714000000e+12,2.791372021364374589e+01,1.800804982280244104e+01,nan
1.662391205264000000e+12,2.849695227845235479e+01,1.764258734611477308e+01,2.043996133719425234e+00
1.662391205874000000e+12,2.914942982786740089e+01,1.732880681705263370e+01,3.402001111095353636e+00
1.662391206424000000e+12,2.973997821686445064e+01,1.693740196685959631e+01,4.682814180010893779e+00
1.662391207014000000e+12,3.047080554580492517e+01,1.665710011336668117e+01,nan
1.662391207594000000e+12,3.100922228662235014e+01,1.621839181094751581e+01,7.460515234610719304e+00
1.662391208144000000e+12,3.120806548940178970e+01,1.555188218252278176e+01,8.526189254593967703e+00
1.662391208734000000e+12,2.316414413980429998e+01,2.216277000533085229e+01,nan
1.662391209344000000e+12,2.293456562887164552e+01,2.152950103454466557e+01,9.430542095232943289e-01
1.662391209924000000e+12,2.288686687438271150e+01,2.083546178295043205e+01,4.494206560093838010e-01
1.662391210494000000e+12,2.334895419772159286e+01,2.036459902932192634e+01,1.595448850237796590e+00
1.662391211114000000e+12,2.392379875594528826e+01,2.010723247002328407e+01,nan
1.662391211704000000e+12,2.453629463367184371e+01,2.001575920365794303e+01,3.794899209722312428e+00
1.662391212214000000e+12,2.522560804375855170e+01,1.988245431903735039e+01,5.012005485943624272e+00
1.662391212794000000e+12,2.592482587490138357e+01,1.986328737556132040e+01,6.370299639863557850e+00
1.662391213334000000e+12,2.645957819757919083e+01,1.981094007973003457e+01,7.546227659835737178e+00
1.662391213864000000e+12,1.667543511670095313e+01,2.208202478529555535e+01,1.913437803277986848e+00
1.662391214444000000e+12,1.724634203462355941e+01,2.206556167055034834e+01,5.830096193396324677e-01
