# time,x,y,error
1.662391171774000000e+12,2.987427508141980326e+01,1.904901698376960084e+01,nan
1.662391172414000000e+12,2.942378774192710722e+01,1.875466587235287719e+01,nan
1.662391173014000000e+12,2.898318717718788662e+01,1.846521181843387893e+01,1.590152415669707553e+00
1.662391173604000000e+12,2.856845615483415557e+01,1.809534774356092868e+01,nan
1.662391174164000000e+12,2.813324609450616265e+01,1.771432090491935440e+01,nan
1.662391174724000000e+12,2.773188940547877479e+01,1.724635028479297105e+01,3.052379184915534616e+00
1.662391175264000000e+12,2.727325370122485637e+01,1.674181717430723637e+01,nan
1.662391175874000000e+12,2.686680361097008785e+01,1.620391901479284513e+01,4.187107688475660616e+00
1.662391176404000000e+12,2.631798133062947898e+01,1.584482817419666922e+01,4.479545749774266561e+00
1.662391176994000000e+12,2.559877414174964017e+01,1.582652246537872820e+01,nan
1.662391177584000000e+12,2.506096995961562968e+01,1.612851095137440183e+01,4.654345232664954146e+00
1.662391178184000000e+12,2.450108551827659298e+01,1.643889121089569016e+01,nan
1.662391178744000000e+12,2.078008704450138566e+01,2.240297686592472459e+01,1.763756397991306457e+00
1.662391179304000000e+12,2.017635583306697100e+01,2.229332208303877039e+01,1.845646304324242815e+00
1.662391179824000000e+12,1.975054254961434452e+01,2.190588125932695007e+01,1.822027304574174611e+00
1.662391180444000000e+12,1.945968202409404668e+01,2.144624384492550817e+01,1.752127020224863552e+00
1.662391181014000000e+12,1.918173543938605619e+01,2.094890145951234928e+01,nan
1.662391181574000000e+12,1.896138252917904055e+01,2.037443290911170379e+01,2.202995198475245164e+00
1.662391182114000000e+12,1.870946254425135535e+01,1.980871638779110100e+01,2.636993417352594182e+00
1.662391182684000000e+12,1.853024545751289054e+01,1.921183409202908621e+01,3.290355875484170411e+00
1.662391183214000000e+12,1.834744415053482314e+01,1.861289014141360099e+01,3.943378127432057845e+00
1.662391183794000000e+12,1.826840266678287961e+01,1.797922958102915914e+01,nan
1.662391184334000000e+12,1.835457283787556904e+01,1.728449555599916465e+01,5.599673422187427363e+00
1.662391184894000000e+12,1.883739090038659469e+01,1.679473163073643605e+01,6.394923729883442043e+00
1.662391185454000000e+12,1.938323046902155156e+01,1.647939024170969446e+01,nan
1.662391186094000000e+12,1.998129733819813225e+01,1.633587007463567886e+01,nan
1.662391186624000000e+12,2.063720916247144999e+01,1.626984797837383567e+01,7.021780168484678342e+00
1.662391187204000000e+12,2.112731279485741709e+01,1.664534684010790500e+01,nan
1.662391187764000000e+12,2.138741915816650518e+01,1.720480007114939625e+01,6.337417095394569877e+00
1.662391188404000000e+12,1.906731477092191440e+01,1.915222601756870091e+01,2.997613307784471992e+00
1.662391188954000000e+12,1.911160630072244970e+01,1.977564512505151484e+01,2.478142658392262998e+00
1.662391189524000000e+12,1.906862462363134014e+01,2.047828255569119449e+01,2.161207609003993113e+00
1.662391190084000000e+12,1.908425253774547770e+01,2.117236757818800896e+01,2.286063302416399878e+00
1.662391190654000000e+12,1.897749062265959097e+01,2.187610206752638220e+01,nan
1.662391191214000000e+12,1.887401327440662513e+01,2.256955695968601461e+01,3.592271585808347378e+00
1.662391191794000000e+12,1.872142154869634822e+01,2.326043263269372474e+01,nan
1.662391192404000000e+12,1.896890824825101518e+01,2.383547789475091605e+01,5.372599909792592499e+00
1.662391192994000000e+12,1.947171239860441005e+01,2.428378647270979940e+01,nan
1.662391193564000000e+12,2.008756448879772094e+01,2.456294371402978172e+01,nan
1.662391194194000000e+12,2.066417413732700226e+01,2.489333334344295423e+01,7.744381130971078164e+00
